dataset,class,file
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\00416648-be6e-4bd4-bc8d-82f43f8a7240___GCREC_Bact.Sp 3110.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0045ba29-ed1b-43b4-afde-719cc7adefdb___GCREC_Bact.Sp 6254.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\00639d29-2d1a-4fcf-9bd3-a2b3109c74c4___UF.GRC_BS_Lab Leaf 1054.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\00a7c269-3476-4d25-b744-44d6353cd921___GCREC_Bact.Sp 5807.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\00b7e89a-e129-4576-b51f-48923888bff9___GCREC_Bact.Sp 6202.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01375198-62af-4c40-bddf-f3c11107200b___GCREC_Bact.Sp 5914.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\014b58ae-091b-408a-ab4a-5a780cd1c3f3___GCREC_Bact.Sp 2971.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01a3cf3f-94c1-44d5-8972-8c509d62558e___GCREC_Bact.Sp 3396.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01a46cb5-d354-4f59-868e-e56186701541___GCREC_Bact.Sp 5638.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01d7f4fe-793f-4a9b-bc8b-8aa05200984f___GCREC_Bact.Sp 2984.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01e079ba-939a-4681-8983-db663f4a859b___GCREC_Bact.Sp 3029.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\01f13167-f508-4ef2-8720-4e973438f8fc___GCREC_Bact.Sp 5892.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0296e043-c805-47e4-bce5-b2326048ac67___GCREC_Bact.Sp 5680.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\02dfe58f-0ad1-4bf6-838a-e145978b1eed___GCREC_Bact.Sp 5841.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\02fd4e60-db82-441c-87f6-08de768a4462___GCREC_Bact.Sp 5547.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\03707c27-7f95-4f19-a173-1c0c74653fdf___GCREC_Bact.Sp 3046.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\03aa14e9-9ee4-4ba2-819d-effb3d1ba398___GCREC_Bact.Sp 5801.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\03af6874-872f-41e1-bce4-b3022bd7a9e6___GCREC_Bact.Sp 2995.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\03c8e0d0-6c57-4207-ad44-4d017c3e7943___GCREC_Bact.Sp 6325.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\03ca5883-e9d6-4f88-81d8-90176fcc5413___GCREC_Bact.Sp 3013.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\04210e47-ad95-4648-8f1e-dc183581157c___UF.GRC_BS_Lab Leaf 0320.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\045e9a8d-bed0-4700-8d27-7f8d0735223e___GCREC_Bact.Sp 3848.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\04da1f61-623b-4878-86ed-3ea24723b515___GCREC_Bact.Sp 5700.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\04ee9562-c932-46ef-8e31-da20d4e2e740___GCREC_Bact.Sp 6121.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\04fcd6e4-a96e-49ba-b67a-32b88337b505___GCREC_Bact.Sp 3689.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\051beef3-8c72-4fd8-9dd4-8fececd41a35___GCREC_Bact.Sp 5989.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\0542f446-f9d7-4173-ab07-f41125b21dc7___GCREC_Bact.Sp 3074.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\05530c50-5cb9-484f-91d0-82c9df7689d5___GCREC_Bact.Sp 6051.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\05777829-6912-44bb-bcef-901bc5190584___GCREC_Bact.Sp 6150.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\05796aef-4298-48b1-ac04-e3ba020cb8b8___GCREC_Bact.Sp 3650.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\057e3333-e63f-4259-888e-12869cc457c7___GCREC_Bact.Sp 3317.JPG
Tomato,Tomato___Bacterial_spot,D:\CropDiseaseProject\tomato_plantvillage\Tomato___Bacterial_spot\05fc994d-7781-4dc5-a15c-b359f6c681a6___GCREC_Bact.Sp 6304.JPG
