filename,folder,class_label,exclusion_reason,sha256_hash,details
Spot Leaf -  (1).jpeg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),4b64205883d1ace4b8caefffbaea17d134be71b8869d60d456828f16d80e375f,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (1).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),282d6b1e464055dc01ec66cdf31832f76d47e8dcd1989367f507d91d926aca74,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (10).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),f4e679eeaca9e9c73b45025f6d7fe40e53eb83f6ae6d836bc4de0f4b70ffb777,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (100).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),1288c10bcdf8290576e1b2b9a403df7bb0e39003d3ed6838561444a2ddeab311,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (101).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),1332eebfe4d1b9429ce8694c42e4e148f585bc9a44d7ce23f301d11fa52b1128,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (102).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),47f6d394001612ee4bdad37f0a35bf9ab12b92178c5abe99bfa674abf2cc3e27,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (103).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),1332eebfe4d1b9429ce8694c42e4e148f585bc9a44d7ce23f301d11fa52b1128,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (104).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),6f5849562738bb780917054107486db672a349265d934f104fa5989508332753,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (105).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),a9ea36192d94787b4ac7bc5a11a2164b08d4055f8b5260f2397d2c8876c06a46,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (106).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),410f00d804ac572593ab8756c24b9fde487d30e26b7367c0889f981562098558,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (107).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),410f00d804ac572593ab8756c24b9fde487d30e26b7367c0889f981562098558,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (108).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),2f9911cfd95e024096f341fcf20e95ec9c6cff604eb65e97e3736f32d4c7baf8,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (109).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),d4e0dd975dd9d9bd9c289b13c6df53c2e1b2a2596bea0df6ba22b7136eef46ba,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (11).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ee5d7995fe83b7cd43a6147efd6210b98af64301282c65a0a706ac13a65f5d37,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (110).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),5909aa6b94a3643cdb2f705ee93b0d36420a3caef774891cd8f8dd3d75475b5b,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (111).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),03aae7e8d05df7ec878d98382522e769cabf8f226749f50da1fbe49b12fcde43,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (112).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),1e8627264601752258be1247cd7e185923924681c9623f19750de175b1bab3d7,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (113).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),bad66188daddc27e8881af1b9dbd3f542de311c2bb8e49faeef0518db3522cb2,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (114).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),ce540a62f95fa5f4d80eb807e5664b37db9cc50f2a6c82b404fd4b4dab132007,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (115).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),8cad694a0236d3990e6d7c806f4b2574521ee34b984837d29bf9771ba086ad5f,Exact SHA-256 match with Track B evaluation sample
Spot Leaf -  (116).jpg,Spot Leaf,cerocospora,EVAL_SET_EXACT_COLLISION (Track B),85bbdb58c2f55342465a23b214f93d2a44c453b79314201b81d1b5c9453553de,Exact SHA-256 match with Track B evaluation sample
