image_path,relative_path,class_label,class_index,source_dataset,source_type,sha256_hash
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4282.JPG,chilli_cold\murda complex\IMG_4282.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f459d9dbca0be8fea5ee687114a71c19660e6beb4d80d52acc5d6f42b60cd734
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5679.JPG,chilli_cold\powdery mildew\IMG_5679.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,26a7e6c44d59aae52a8a2afa72e6f480aa37d68d2342cd940f2bc89f46dd40f6
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4824.JPG,chilli_cold\healthy\IMG_4824.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,8cc905b1b13494b1d326753473fb6d148c71f396ea6aad8224036580dfe142f0
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_3922.JPG,chilli_cold\cerocospora\IMG_3922.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,0e1dc3b05ec75549b8d8fdb2e0a873cdccaafdf9912ab4c0dd95ec5bf4fb0611
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4605.JPG,chilli_cold\cerocospora\IMG_4605.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,064746e9ba33a94fedb01a61d60dedf5aec1f1f2333c2b95fa76de7dfc9cfa31
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5113.JPG,chilli_cold\murda complex\IMG_5113.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,5963d73d25743ed378e9f51f22e67a21cecb19abda9d05700591baac9929df20
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3489.JPG,chilli_cold\healthy\IMG_3489.JPG,healthy,1,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,7da50d18e12483c35f2ee357b5036b04c4c3c43bd2f4dbe9e8055767e84116e5
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4728.JPG,chilli_cold\nutritional deficiency\IMG_4728.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,3a7d7b9e5a80b848796a36a9ab65289c2fc867aa18b6a79bcd31d26b2126de2e
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5519.JPG,chilli_cold\powdery mildew\IMG_5519.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,20732b1043cf67196f71fde29f86f87616fbdc6c9e790c9b9b873fb04e24d8b3
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4703.JPG,chilli_cold\nutritional deficiency\IMG_4703.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,1fba6327cdf35007f86029d9eb8da025d4d777c00ef9501a9651f576384a0362
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5297.JPG,chilli_cold\cerocospora\IMG_5297.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,91d43b39dd9a9b4fb20d50ce8b41eb7848669270b45c0aec2a3b56ef0cf4cc4a
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5636.JPG,chilli_cold\murda complex\IMG_5636.JPG,murda complex,2,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,6f96d08f566bae8cc9f5507dbb99d83380ee82a02650e29d9c2b1a0ef0b5f429
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4038.JPG,chilli_cold\cerocospora\IMG_4038.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,b0d80206b21e28c8b3a204237cc3137178e6fe69f833ff43815dfb95450268b3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5163.JPG,chilli_cold\cerocospora\IMG_5163.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,5e2778854400950f4b136f465507f480b01cc83d60c3931dde17978c5205e2c0
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5178.JPG,chilli_cold\cerocospora\IMG_5178.JPG,cerocospora,0,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,f66c8aedb66a3af47d7d0a69127a7f96afb6fd99bc49dfe8c8bf3dff88bc118e
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5508.JPG,chilli_cold\powdery mildew\IMG_5508.JPG,powdery mildew,4,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,743a6b51a63e74e02254ffb9d663b999fb22e460826087f7a431397ab138703c
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3304.JPG,chilli_cold\nutritional deficiency\IMG_3304.JPG,nutritional deficiency,3,Chilli_COLD_2024,ORIGINAL_IN_DOMAIN_TRAIN,cbc8e8904e8fe785c49a357b3ee30455c357fcdaef4243ac90e86fe392366de0
