crop,class,support,error_count,error_rate_pct,precision,recall,f1_score
Tomato (T1 PlantVillage),Early blight,120,45,37.5,0.8242,0.625,0.7109
Tomato (T1 PlantVillage),Target Spot,168,26,15.48,0.7358,0.8452,0.7867
Tomato (T1 PlantVillage),Spider mites Two-spotted spider mite,201,29,14.43,0.8473,0.8557,0.8515
Tomato (T1 PlantVillage),Leaf Mold,114,19,16.67,0.8962,0.8333,0.8636
Tomato (T1 PlantVillage),Septoria leaf spot,213,24,11.27,0.8591,0.8873,0.873
Tomato (T1 PlantVillage),Late blight,229,20,8.73,0.8932,0.9127,0.9028
Tomato (T1 PlantVillage),Bacterial spot,256,22,8.59,0.9105,0.9141,0.9123
Tomato (T1 PlantVillage),healthy,191,3,1.57,0.9126,0.9843,0.9471
Tomato (T1 PlantVillage),Tomato mosaic virus,45,3,6.67,0.9767,0.9333,0.9545
Tomato (T1 PlantVillage),Tomato Yellow Leaf Curl Virus,643,22,3.42,0.9904,0.9658,0.978
