evaluation_track,crop,true_label,predicted_label,count,mean_confidence,max_confidence,example_file
TRACK_B_EXTERNAL,Tomato,Tomato___Target_Spot,Tomato___Early_blight,23,0.8213158638580985,0.9982482194900513,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Target_Spot\rk_sau_IMG_0361_JPG.rf.9df45f9f1d831bf0c30f3d62a2cd8b7a.jpg
TRACK_B_EXTERNAL,Grape,Powdery Mildew,Healthy Leaves,21,0.8475304473014105,0.9951209425926208,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_003e8cb4-02e0-4e82-94c2-8845d178c088_jpg.rf.838d6db1c071c16d252bbed873fe1ae8.jpg
TRACK_C_REALWORLD,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Late_blight,20,0.9126923829317093,0.9997610449790955,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pd_real_11-40580_5.jpg
TRACK_B_EXTERNAL,Grape,Esca (Black Measles),Healthy Leaves,19,0.8447433961065192,0.9993064403533936,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000001.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Tomato_mosaic_virus,Tomato___Late_blight,19,0.8497691436817771,0.9999721050262451,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_mosaic_virus\plantdoc_1422_0.jpeg.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Late_blight,19,0.8712576094426607,0.9997642636299133,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pak_1342017-162221-44540.jpg
TRACK_D_CROSS_CROP,Chilli,Cross-Crop: Tomato,cerocospora,18,0.7660110609398948,0.9866140484809875,D:\CropDiseaseProject\tomato_plantvillage\Tomato___healthy\651c7556-f25e-46b9-97db-4793a2a3b642___RS_HL 0219.JPG
TRACK_B_EXTERNAL,Grape,Leaf Blight,Powdery Mildew,18,0.8220629956987169,0.9985490441322327,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Leaf Blight\baliwaka_00000001.jpg
TRACK_D_CROSS_CROP,Tomato,Cross-Crop: Chilli,Tomato___Early_blight,18,0.9630514416429732,0.9999933242797852,D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4053.JPG
TRACK_C_REALWORLD,Tomato,Tomato___Septoria_leaf_spot,Tomato___Early_blight,17,0.8759498508537517,0.9999988079071045,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_0.jpg
TRACK_B_EXTERNAL,Tomato,Tomato___Septoria_leaf_spot,Tomato___Early_blight,17,0.8813305006307715,0.998826801776886,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Septoria_leaf_spot\pak_1058_0.jpeg_itok=OQkdtxgv.jpg
TRACK_B_EXTERNAL,Chilli,murda complex,cerocospora,16,0.5166344307363033,0.9310789704322815,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\murda complex\ulfa_Leaf_Curl__1_.jpg
