crop,class_label,track_a_n,track_a_accuracy,track_a_confidence,track_b_n,track_b_accuracy,track_b_confidence,generalization_gap_A_minus_B,track_c_high_n,track_c_high_accuracy,track_c_high_confidence,realworld_gap_A_minus_C_high,track_c_all_n,track_c_all_accuracy
Chilli,cerocospora,30,0.8,0.7433089405298233,30,0.5666666666666667,0.6004313309987386,0.2333333333333334,29,0.7931034482758621,0.6224173173822206,0.006896551724137945,29,0.7931034482758621
Chilli,healthy,30,0.5,0.5914102484782536,30,0.8666666666666667,0.6307461162408193,-0.3666666666666667,28,0.5357142857142857,0.5403310816202845,-0.0357142857142857,28,0.5357142857142857
Chilli,murda complex,30,0.6,0.5625528862078985,30,0.0,0.4904754360516866,0.6,20,0.05,0.5647778704762458,0.5499999999999999,20,0.05
Chilli,nutritional deficiency,30,0.23333333333333334,0.6618240038553874,30,0.7666666666666667,0.7228177130222321,-0.5333333333333334,0,,,,20,0.85
Chilli,powdery mildew,24,0.7083333333333334,0.7030945805211862,0,,,,0,,,,0,
Grape,Bacterial Leaf Spot,15,0.8666666666666667,0.8924441178639729,0,,,,0,,,,0,
Grape,Black Rot,30,0.8666666666666667,0.8992805182933807,30,0.0,0.7382939239343007,0.8666666666666667,28,0.0,0.7221728627170835,0.8666666666666667,28,0.0
Grape,Downy Mildew,30,1.0,0.9773256599903106,30,0.06666666666666667,0.7656335751215617,0.9333333333333333,20,0.0,0.7577662914991379,1.0,20,0.0
Grape,Esca (Black Measles),30,0.8333333333333334,0.8307312349478404,30,0.03333333333333333,0.8036457320054372,0.8,20,0.0,0.7197665676474572,0.8333333333333334,20,0.0
Grape,Healthy Leaves,60,1.0,0.9813619087139765,30,0.6333333333333333,0.8145669420560201,0.3666666666666667,12,0.75,0.8066035732626915,0.25,12,0.75
Grape,Leaf Blight,30,0.6,0.8014640887578328,30,0.03333333333333333,0.7250363782048226,0.5666666666666667,20,0.05,0.7671272948384285,0.5499999999999999,20,0.05
Grape,Powdery Mildew,30,0.8666666666666667,0.8778538902600607,30,0.03333333333333333,0.8073529760042827,0.8333333333333334,0,,,,0,
Sugarcane,Banded Chlorosis,30,0.7666666666666667,0.6923565993706385,0,,,,0,,,,0,
Sugarcane,Brown Spot,30,0.8333333333333334,0.8432291676600774,0,,,,0,,,,0,
Sugarcane,Grassy Shoot,30,0.9666666666666667,0.9737614075342814,0,,,,0,,,,0,
Sugarcane,Healthy Leaves,60,0.9333333333333333,0.8722434232632319,30,0.26666666666666666,0.6315386712551116,0.6666666666666667,20,0.15,0.7093732178211212,0.7833333333333333,20,0.15
Sugarcane,Mosaic / Viral Disease,60,0.7333333333333333,0.7855008418361346,0,,,,0,,,,0,
Sugarcane,Pokkah Boeng,30,0.6666666666666666,0.8405707081158956,0,,,,0,,,,0,
Sugarcane,Red Rot,30,0.9,0.8516207138697306,30,0.5,0.6827615747849146,0.4,20,0.45,0.7803552091121674,0.45,20,0.45
Sugarcane,Rust (Brown Rust),60,0.7333333333333333,0.7318007623155912,0,,,,0,,,,0,
Sugarcane,Sett Rot,30,1.0,0.9994827051957448,0,,,,0,,,,0,
Sugarcane,Smut,30,0.8333333333333334,0.7791157404581706,0,,,,0,,,,0,
Sugarcane,Yellow Leaf Disease,60,0.7666666666666667,0.8124034563700359,0,,,,0,,,,0,
Tomato,Tomato___Bacterial_spot,30,0.8666666666666667,0.8888792713483175,30,0.03333333333333333,0.8158017545938492,0.8333333333333334,9,0.1111111111111111,0.8403907616933187,0.7555555555555555,9,0.1111111111111111
Tomato,Tomato___Early_blight,30,0.6333333333333333,0.7049592077732086,30,0.4666666666666667,0.8166527609030406,0.16666666666666663,28,0.5,0.8801816169704709,0.1333333333333333,28,0.5
Tomato,Tomato___Late_blight,30,0.9333333333333333,0.8720102121432622,30,0.6666666666666666,0.8719696780045827,0.2666666666666667,30,0.8,0.8671851555506388,0.1333333333333333,30,0.8
Tomato,Tomato___Leaf_Mold,30,0.8,0.8042753716309865,30,0.0,0.8474688013394673,0.8,0,,,,26,0.0
Tomato,Tomato___Septoria_leaf_spot,30,0.9666666666666667,0.9112836877504985,30,0.1,0.8372798363367716,0.8666666666666667,31,0.16129032258064516,0.7906281419338719,0.8053763440860215,31,0.16129032258064516
Tomato,Tomato___Spider_mites Two-spotted_spider_mite,30,0.9333333333333333,0.9072004775206248,2,0.0,0.6678428053855896,0.9333333333333333,0,,,,0,
Tomato,Tomato___Target_Spot,30,0.8,0.7951012720664342,30,0.0,0.8483513037363688,0.8,0,,,,0,
Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,0.9333333333333333,0.9738713900248209,30,0.03333333333333333,0.8255119572083155,0.9,26,0.11538461538461539,0.8519566082037412,0.8179487179487179,26,0.11538461538461539
Tomato,Tomato___Tomato_mosaic_virus,30,0.9333333333333333,0.8969736198584238,30,0.0,0.8589189986387888,0.9333333333333333,0,,,,10,0.0
Tomato,Tomato___healthy,30,1.0,0.9763010541598002,30,0.0,0.8797024150689443,1.0,28,0.0,0.8714339147721019,1.0,28,0.0
