crop,class_label,reliability_tier,track_a_acc,track_b_acc,track_c_acc,generalization_gap,rationale
Chilli,cerocospora,YELLOW,80.0%,56.7%,79.3%,23.3%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Chilli,healthy,YELLOW,50.0%,86.7%,53.6%,-36.7%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Chilli,murda complex,RED,60.0%,0.0%,5.0%,60.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Chilli,nutritional deficiency,YELLOW,23.3%,76.7%,N/A,-53.3%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Chilli,powdery mildew,YELLOW,70.8%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Grape,Bacterial Leaf Spot,YELLOW,86.7%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Grape,Black Rot,RED,86.7%,0.0%,0.0%,86.7%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Grape,Downy Mildew,RED,100.0%,6.7%,0.0%,93.3%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Grape,Esca (Black Measles),RED,83.3%,3.3%,0.0%,80.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Grape,Healthy Leaves,YELLOW,100.0%,63.3%,75.0%,36.7%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Grape,Leaf Blight,RED,60.0%,3.3%,5.0%,56.7%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Grape,Powdery Mildew,RED,86.7%,3.3%,N/A,83.3%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Sugarcane,Banded Chlorosis,YELLOW,76.7%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Brown Spot,YELLOW,83.3%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Grassy Shoot,YELLOW,96.7%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Healthy Leaves,RED,93.3%,26.7%,15.0%,66.7%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Sugarcane,Mosaic / Viral Disease,YELLOW,73.3%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Pokkah Boeng,YELLOW,66.7%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Red Rot,YELLOW,90.0%,50.0%,45.0%,40.0%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Sugarcane,Rust (Brown Rust),YELLOW,73.3%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Sett Rot,YELLOW,100.0%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Smut,YELLOW,83.3%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Sugarcane,Yellow Leaf Disease,YELLOW,76.7%,N/A,N/A,N/A,Internal test only (no verified external dataset available; untested externally)
Tomato,Tomato___Bacterial_spot,RED,86.7%,3.3%,11.1%,83.3%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Early_blight,YELLOW,63.3%,46.7%,50.0%,16.7%,Moderate generalization drift; functional in domain but vulnerable to background/lighting variation.
Tomato,Tomato___Late_blight,GREEN,93.3%,66.7%,80.0%,26.7%,"Robust generalization across internal, external, and real-world environments."
Tomato,Tomato___Leaf_Mold,RED,80.0%,0.0%,N/A,80.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Septoria_leaf_spot,RED,96.7%,10.0%,16.1%,86.7%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Spider_mites Two-spotted_spider_mite,RED,93.3%,0.0%,N/A,93.3%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Target_Spot,RED,80.0%,0.0%,N/A,80.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,RED,93.3%,3.3%,11.5%,90.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___Tomato_mosaic_virus,RED,93.3%,0.0%,N/A,93.3%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
Tomato,Tomato___healthy,RED,100.0%,0.0%,0.0%,100.0%,"Severe generalization breakdown, massive gap (>40%), or failure on external field samples."
