image_path,relative_path,crop,class_label,source_dataset,source_url_or_citation,sha256_hash,hash_collision_check_passed
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_100_46341.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_100_46341.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),a873676f4c845584dce10f5fb173c5ebbf2c6eee203b323c23c4768b63c83919,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_126689-004-D622CD2F.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_126689-004-D622CD2F.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),451d83c709fcbab2f641e27b6cd6315d9bb869cf94210cfcd4e085f5ec399c88,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1576389-early%20blight%20symptoms.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1576389-early%20blight%20symptoms.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),7ea3f709c470175f1f424575e3540089a38ed5a210d175c2bf3eb77c6ca26ea1,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454500663.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454500663.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),c43fb3a2c9be5051b3d53765bbcd7f569c8c6f22fabd2b97589460d18d3711b7,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454501459.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454501459.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),7a18aa67a18456474a015ebbe1521b7f96f6d44c1f201cd9567f0fc7cf87cfe2,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503004.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503004.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),e03820ce0df73175921744bb3bba3c8a6e3ae48af926b6dcede9cf83ba482b2f,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503045.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503045.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),4923fea893ca951d48acbe4e20b3a9f3a52cd79efabff6e5dcde61fb15dbdc23,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503368.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503368.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),7983f1adb5e28eb050bfa43b13cd334777a5e75846e19547a89538eee6291e24,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503528.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503528.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),4c22ce5006ddd46144bc5d7b7f86f3b277256f6599cc2e3c7cae75f784db417a,True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503933.jpg,results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503933.jpg,Tomato,Tomato___Early_blight,Tomato_Leaf_Disease_Dataset_Pakistan,Kaggle/Mendeley Pakistan Tomato Leaf Dataset (Farooq et al.),020c9f938282b44d355be2825febf81a6735624ada6a7c6f95e7ab9a45ba114d,True
