evaluation_track,crop,dataset,source_dataset,file_path,true_label,true_class_index,predicted_label,predicted_class_index,correct,confidence,true_class_probability,top_2_label,top_2_probability,top_3_label,top_3_probability,ground_truth_quality,error_type
TRACK_D_CROSS_CROP,Tomato,cross_crop_sugarcane_to_tomato,Sugarcane Held-Out Test,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1699.jpg,Cross-Crop: Sugarcane,-1,Tomato___Late_blight,2,False,1.0,0.0,Tomato___Early_blight,1.0256444582523727e-09,Tomato___Bacterial_spot,4.92282381525655e-10,N/A,CROSS_CROP_FALSE_ALARM
TRACK_D_CROSS_CROP,Tomato,cross_crop_sugarcane_to_tomato,Sugarcane Held-Out Test,D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (365).jpeg,Cross-Crop: Sugarcane,-1,Tomato___Tomato_Yellow_Leaf_Curl_Virus,7,False,1.0,0.0,Tomato___Late_blight,3.3079253114465246e-08,Tomato___Early_blight,1.7031460963767842e-10,N/A,CROSS_CROP_FALSE_ALARM
TRACK_C_REALWORLD,Tomato,realworld_tomato,INTERNET_PLANTDOC_TEST,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pd_real_7-17-Photo3_Septoria-MARY.jpg,Tomato___Septoria_leaf_spot,4,Tomato___Early_blight,1,False,0.9999988079071045,8.392435120185837e-07,Tomato___Septoria_leaf_spot,8.392435120185837e-07,Tomato___Tomato_Yellow_Leaf_Curl_Virus,3.531462766659388e-07,HIGH,MISCLASSIFICATION
TRACK_D_CROSS_CROP,Tomato,cross_crop_chilli_to_tomato,Chilli Held-Out Test,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3427.JPG,Cross-Crop: Chilli,-1,Tomato___Early_blight,1,False,0.9999933242797852,0.0,Tomato___Late_blight,2.8798087896575453e-06,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2.8203860438225092e-06,N/A,CROSS_CROP_FALSE_ALARM
TRACK_D_CROSS_CROP,Tomato,cross_crop_sugarcane_to_tomato,Sugarcane Held-Out Test,D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image264.jpg,Cross-Crop: Sugarcane,-1,Tomato___Late_blight,2,False,0.9999871253967285,0.0,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0966314221150242e-05,Tomato___Leaf_Mold,1.513020038146351e-06,N/A,CROSS_CROP_FALSE_ALARM
TRACK_C_REALWORLD,Tomato,realworld_tomato,INTERNET_PLANTDOC_TEST,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___healthy\pd_real_2013-08-20-06.jpg,Tomato___healthy,9,Tomato___Early_blight,1,False,0.999975323677063,1.3353050120397877e-23,Tomato___Tomato_Yellow_Leaf_Curl_Virus,9.469773431192152e-06,Tomato___Late_blight,8.951378731580917e-06,HIGH,MISCLASSIFICATION
TRACK_C_REALWORLD,Tomato,realworld_tomato,FARMER_FIELD_PHOTO,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Septoria_leaf_spot\pak_field_early-blight-closeup-sm.jpg,Tomato___Septoria_leaf_spot,4,Tomato___Early_blight,1,False,0.9999750852584839,1.8223362303615431e-06,Tomato___Late_blight,2.2282520149019547e-05,Tomato___Septoria_leaf_spot,1.8223362303615431e-06,HIGH,MISCLASSIFICATION
TRACK_D_CROSS_CROP,Tomato,cross_crop_sugarcane_to_tomato,Sugarcane Held-Out Test,D:\CropDiseaseProject\sugarcane_large\Diseases\smut\Smut238.jpg,Cross-Crop: Sugarcane,-1,Tomato___Late_blight,2,False,0.9999741315841675,0.0,Tomato___Tomato_Yellow_Leaf_Curl_Virus,2.5861707399599254e-05,Tomato___Leaf_Mold,1.0438118147604314e-09,N/A,CROSS_CROP_FALSE_ALARM
TRACK_B_EXTERNAL,Tomato,external_tomato,PlantDoc-Dataset,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_mosaic_virus\plantdoc_mosaic_virus_tomato.jpg,Tomato___Tomato_mosaic_virus,8,Tomato___Late_blight,2,False,0.9999721050262451,5.546769987763156e-11,Tomato___Early_blight,1.125756352848839e-05,Tomato___healthy,8.398324098379817e-06,HIGH,MISCLASSIFICATION
TRACK_B_EXTERNAL,Tomato,external_tomato,PlantDoc-Dataset,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Bacterial_spot\plantdoc_05-069f9.jpg,Tomato___Bacterial_spot,0,Tomato___Early_blight,1,False,0.9999698400497437,8.606071588701525e-08,Tomato___Late_blight,2.9247179554658942e-05,Tomato___Septoria_leaf_spot,7.959910135468817e-07,HIGH,MISCLASSIFICATION
TRACK_D_CROSS_CROP,Tomato,cross_crop_sugarcane_to_tomato,Sugarcane Held-Out Test,D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf1013.jpg,Cross-Crop: Sugarcane,-1,Tomato___Late_blight,2,False,0.9999605417251587,0.0,Tomato___Early_blight,2.1582640329143032e-05,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.749965304043144e-05,N/A,CROSS_CROP_FALSE_ALARM
