crop,class_label,track_a_n,track_a_accuracy,track_b_n,track_b_accuracy,generalization_gap_A_minus_B
Chilli,cerocospora,30,0.8,30,0.5666666666666667,0.2333333333333334
Chilli,healthy,30,0.5,30,0.8666666666666667,-0.3666666666666667
Chilli,murda complex,30,0.6,30,0.0,0.6
Chilli,nutritional deficiency,30,0.23333333333333334,30,0.7666666666666667,-0.5333333333333334
Chilli,powdery mildew,24,0.7083333333333334,0,,
Grape,Bacterial Leaf Spot,15,0.8666666666666667,0,,
Grape,Black Rot,30,0.8666666666666667,30,0.0,0.8666666666666667
Grape,Downy Mildew,30,1.0,30,0.06666666666666667,0.9333333333333333
Grape,Esca (Black Measles),30,0.8333333333333334,30,0.03333333333333333,0.8
Grape,Healthy Leaves,60,1.0,30,0.6333333333333333,0.3666666666666667
Grape,Leaf Blight,30,0.6,30,0.03333333333333333,0.5666666666666667
Grape,Powdery Mildew,30,0.8666666666666667,30,0.03333333333333333,0.8333333333333334
Sugarcane,Banded Chlorosis,30,0.7666666666666667,0,,
Sugarcane,Brown Spot,30,0.8333333333333334,0,,
Sugarcane,Grassy Shoot,30,0.9666666666666667,0,,
Sugarcane,Healthy Leaves,60,0.9333333333333333,30,0.26666666666666666,0.6666666666666667
Sugarcane,Mosaic / Viral Disease,60,0.7333333333333333,0,,
Sugarcane,Pokkah Boeng,30,0.6666666666666666,0,,
Sugarcane,Red Rot,30,0.9,30,0.5,0.4
Sugarcane,Rust (Brown Rust),60,0.7333333333333333,0,,
Sugarcane,Sett Rot,30,1.0,0,,
Sugarcane,Smut,30,0.8333333333333334,0,,
Sugarcane,Yellow Leaf Disease,60,0.7666666666666667,0,,
Tomato,Tomato___Bacterial_spot,30,0.8666666666666667,30,0.03333333333333333,0.8333333333333334
Tomato,Tomato___Early_blight,30,0.6333333333333333,30,0.4666666666666667,0.16666666666666663
Tomato,Tomato___Late_blight,30,0.9333333333333333,30,0.6666666666666666,0.2666666666666667
Tomato,Tomato___Leaf_Mold,30,0.8,30,0.0,0.8
Tomato,Tomato___Septoria_leaf_spot,30,0.9666666666666667,30,0.1,0.8666666666666667
Tomato,Tomato___Spider_mites Two-spotted_spider_mite,30,0.9333333333333333,2,0.0,0.9333333333333333
Tomato,Tomato___Target_Spot,30,0.8,30,0.0,0.8
Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,30,0.9333333333333333,30,0.03333333333333333,0.9
Tomato,Tomato___Tomato_mosaic_virus,30,0.9333333333333333,30,0.0,0.9333333333333333
Tomato,Tomato___healthy,30,1.0,30,0.0,1.0
