crop,class_label,track_a_accuracy,track_b_accuracy,track_c_high_accuracy,track_c_all_accuracy,generalization_gap_A_minus_B,realworld_gap_A_minus_C_high
Chilli,cerocospora,0.8,0.5666666666666667,0.7931034482758621,0.7931034482758621,0.2333333333333334,0.006896551724137945
Chilli,healthy,0.5,0.8666666666666667,0.5357142857142857,0.5357142857142857,-0.3666666666666667,-0.0357142857142857
Chilli,murda complex,0.6,0.0,0.05,0.05,0.6,0.5499999999999999
Chilli,nutritional deficiency,0.23333333333333334,0.7666666666666667,,0.85,-0.5333333333333334,
Chilli,powdery mildew,0.7083333333333334,,,,,
Grape,Bacterial Leaf Spot,0.8666666666666667,,,,,
Grape,Black Rot,0.8666666666666667,0.0,0.0,0.0,0.8666666666666667,0.8666666666666667
Grape,Downy Mildew,1.0,0.06666666666666667,0.0,0.0,0.9333333333333333,1.0
Grape,Esca (Black Measles),0.8333333333333334,0.03333333333333333,0.0,0.0,0.8,0.8333333333333334
Grape,Healthy Leaves,1.0,0.6333333333333333,0.75,0.75,0.3666666666666667,0.25
Grape,Leaf Blight,0.6,0.03333333333333333,0.05,0.05,0.5666666666666667,0.5499999999999999
Grape,Powdery Mildew,0.8666666666666667,0.03333333333333333,,,0.8333333333333334,
Sugarcane,Banded Chlorosis,0.7666666666666667,,,,,
Sugarcane,Brown Spot,0.8333333333333334,,,,,
Sugarcane,Grassy Shoot,0.9666666666666667,,,,,
Sugarcane,Healthy Leaves,0.9333333333333333,0.26666666666666666,0.15,0.15,0.6666666666666667,0.7833333333333333
Sugarcane,Mosaic / Viral Disease,0.7333333333333333,,,,,
Sugarcane,Pokkah Boeng,0.6666666666666666,,,,,
Sugarcane,Red Rot,0.9,0.5,0.45,0.45,0.4,0.45
Sugarcane,Rust (Brown Rust),0.7333333333333333,,,,,
Sugarcane,Sett Rot,1.0,,,,,
Sugarcane,Smut,0.8333333333333334,,,,,
Sugarcane,Yellow Leaf Disease,0.7666666666666667,,,,,
Tomato,Tomato___Bacterial_spot,0.8666666666666667,0.03333333333333333,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.7555555555555555
Tomato,Tomato___Early_blight,0.6333333333333333,0.4666666666666667,0.5,0.5,0.16666666666666663,0.1333333333333333
Tomato,Tomato___Late_blight,0.9333333333333333,0.6666666666666666,0.8,0.8,0.2666666666666667,0.1333333333333333
Tomato,Tomato___Leaf_Mold,0.8,0.0,,0.0,0.8,
Tomato,Tomato___Septoria_leaf_spot,0.9666666666666667,0.1,0.16129032258064516,0.16129032258064516,0.8666666666666667,0.8053763440860215
Tomato,Tomato___Spider_mites Two-spotted_spider_mite,0.9333333333333333,0.0,,,0.9333333333333333,
Tomato,Tomato___Target_Spot,0.8,0.0,,,0.8,
Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9333333333333333,0.03333333333333333,0.11538461538461539,0.11538461538461539,0.9,0.8179487179487179
Tomato,Tomato___Tomato_mosaic_virus,0.9333333333333333,0.0,,0.0,0.9333333333333333,
Tomato,Tomato___healthy,1.0,0.0,0.0,0.0,1.0,1.0
