image_path,relative_path,crop,class_label,ground_truth_quality,source_type,source_url_or_description,sha256_hash,notes,hash_collision_check_passed
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real__2320_Bacterial_Spot_and_Speck.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real__2320_Bacterial_Spot_and_Speck.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",b609929106ab0044de24717ceb091163e7630ec3460ec18c6d9c7bf2b996121c,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_07.17.18-Common_Tomato_Diseases_Canker-258x300.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_07.17.18-Common_Tomato_Diseases_Canker-258x300.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",d9e9aa3d8e0e58d5875c4b9bb17b19327a5b004e91e20942d7a528a8c52f4eeb,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Bacterial_spots563.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Bacterial_spots563.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",f8a309c930537862201f172a32c48db8558e0f3e119757ec85a5dc22d9e96e7f,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tom_Bact3.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tom_Bact3.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",abe1259ccd33542f7cd9c14ecef8a995b601272c0808b52daade7f153fdc5b66,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tom_Bact7.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tom_Bact7.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",07d8f5a4a18746daf367d85b9254364ace2824ce5c31dfacefb0d00b89d99ac8,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tomato_2BBacterial_2BSpot_2Bon_2BLeaves.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_Tomato_2BBacterial_2BSpot_2Bon_2BLeaves.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",98d1b4229761f914476b63c2b7c70a4bd5a23681bf9b4622b642c3dc09cac8ce,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_bact-spot-fig-1.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_bact-spot-fig-1.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",04de396dcc709310361f017f4b290e8994ba258685a0725607169e2c16bb5877,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_tomato_V8.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_tomato_V8.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_tomato_bacterial-speck_01_zoom.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Bacterial_spot\pd_real_tomato_bacterial-speck_01_zoom.jpg,Tomato,Tomato___Bacterial_spot,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",18ce26ad83522efb7d2721582f0bd6f2a7d047f313e969442af25da038f6a2ec,"Field leaf with distinct bacterial spots, natural sunlight",True
D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_039b47d574bc4bb8a14259a1cd96a741.jpg,results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pd_real_039b47d574bc4bb8a14259a1cd96a741.jpg,Tomato,Tomato___Early_blight,HIGH,INTERNET_PLANTDOC_TEST,"Singh et al., PlantDoc Test Set (Uncontrolled Real-World Web Images)",7d9c5c6947554d5fc6e98df5fbc1beb6363255128bd56446960e29a73242c02e,Field leaf with concentric early blight lesions,True
