track,crop,failure_category,file_path,true_label,predicted_label,confidence,diagnostic_failure_mode
TRACK_B_EXTERNAL,Tomato,EXTERNAL_BENCHMARK_ERROR,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_mosaic_virus\plantdoc_mosaic_virus_tomato.jpg,Tomato___Tomato_mosaic_virus,Tomato___Late_blight,0.9999721050262451,Morphological ambiguity / laboratory-to-field domain shift
TRACK_B_EXTERNAL,Tomato,EXTERNAL_BENCHMARK_ERROR,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Bacterial_spot\plantdoc_05-069f9.jpg,Tomato___Bacterial_spot,Tomato___Early_blight,0.9999698400497437,Morphological ambiguity / laboratory-to-field domain shift
TRACK_B_EXTERNAL,Tomato,EXTERNAL_BENCHMARK_ERROR,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20130609_151253_zpsc7d93f62.jpg,Tomato___healthy,Tomato___Late_blight,0.9999394416809082,Morphological ambiguity / laboratory-to-field domain shift
TRACK_B_EXTERNAL,Grape,VINEYARD_PATHOLOGY_CONFUSION,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_9fd44bee-07e8-4d30-ad53-f09e3bb5ba57_jpg.rf.37ba4093cf1a984e5c4a98f94ed2a49a.jpg,Powdery Mildew,Esca (Black Measles),0.99980229139328,Esca vs Leaf Blight interveinal lesion overlap under outdoor illumination
TRACK_B_EXTERNAL,Grape,VINEYARD_PATHOLOGY_CONFUSION,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000006.jpg,Esca (Black Measles),Healthy Leaves,0.9993064403533936,Esca vs Leaf Blight interveinal lesion overlap under outdoor illumination
TRACK_B_EXTERNAL,Grape,VINEYARD_PATHOLOGY_CONFUSION,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000015.jpg,Esca (Black Measles),Healthy Leaves,0.9988275170326233,Esca vs Leaf Blight interveinal lesion overlap under outdoor illumination
TRACK_C_REALWORLD,Chilli,CHILLI_FIELD_DRIFT,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\murda complex\ulfa_field_Leaf_Curl__1041_.jpg,murda complex,cerocospora,0.9644427299499512,Leaf curl / nutritional chlorosis misclassified due to foliage distortion
TRACK_B_EXTERNAL,Chilli,CHILLI_FIELD_DRIFT,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\murda complex\ulfa_Leaf_Curl__1004_.jpg,murda complex,cerocospora,0.9310789704322815,Leaf curl / nutritional chlorosis misclassified due to foliage distortion
TRACK_C_REALWORLD,Chilli,CHILLI_FIELD_DRIFT,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\murda complex\ulfa_field_Leaf_Curl__1042_.jpg,murda complex,cerocospora,0.8879522085189819,Leaf curl / nutritional chlorosis misclassified due to foliage distortion
TRACK_D_CROSS_CROP,Tomato,CROSS_CROP_OVERCONFIDENCE,D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (365).jpeg,Cross-Crop: Sugarcane,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,Model hallucinating disease on wrong crop with extreme overconfidence
TRACK_D_CROSS_CROP,Tomato,CROSS_CROP_OVERCONFIDENCE,D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1699.jpg,Cross-Crop: Sugarcane,Tomato___Late_blight,1.0,Model hallucinating disease on wrong crop with extreme overconfidence
TRACK_D_CROSS_CROP,Tomato,CROSS_CROP_OVERCONFIDENCE,D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3427.JPG,Cross-Crop: Chilli,Tomato___Early_blight,0.9999933242797852,Model hallucinating disease on wrong crop with extreme overconfidence
TRACK_D_UNRELATED,Tomato,UNRELATED_IMAGE_FALSE_ALARM,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\messi5.jpg,Unrelated / Non-Leaf,Tomato___Early_blight,0.9999227523803711,Non-leaf everyday object accepted and classified as plant disease
TRACK_D_UNRELATED,Tomato,UNRELATED_IMAGE_FALSE_ALARM,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\cards.png,Unrelated / Non-Leaf,Tomato___Early_blight,0.9994088411331177,Non-leaf everyday object accepted and classified as plant disease
TRACK_D_UNRELATED,Tomato,UNRELATED_IMAGE_FALSE_ALARM,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_d_unrelated\left01.jpg,Unrelated / Non-Leaf,Tomato___Early_blight,0.9992190599441528,Non-leaf everyday object accepted and classified as plant disease
