model_name,crop,subset_name,ece_uncalibrated,ece_calibrated,ece_absolute_change,ece_relative_pct_change
Tomato,Tomato,validation,0.01757451841293972,0.01286929430027192,-0.004705224112667801,-26.77299031536165
Tomato,Tomato,internal_test,0.011451230608268616,0.005246144423791028,-0.006205086184477588,-54.187068593283485
Tomato,Tomato,track_a_internal,0.024902458687623343,0.034713300665219625,0.009810841977596282,39.39708163223386
Tomato,Tomato,track_b_external,0.6787540722939679,0.689980003681472,0.011225931387504162,1.653902620365012
Tomato,Tomato,track_c_realworld,0.5953254423084411,0.6060592192126081,0.010733776904166992,1.8030099406713695
Tomato,Tomato,track_d_cross_crop,,,,
Tomato,Tomato,track_d_unrelated,,,,
Grape,Grape,validation,0.029556636747561003,0.020206333039014347,-0.009350303708546656,-31.63520866195386
Grape,Grape,internal_test,0.03288407987093695,0.019571087830304847,-0.013312992040632105,-40.48461168104073
Grape,Grape,track_a_internal,0.025915620194541085,0.023242118358612063,-0.002673501835929022,-10.316179261232474
Grape,Grape,track_b_external,0.642963123631974,0.6179144931336245,-0.0250486304983496,-3.895811373575321
Grape,Grape,track_c_realworld,0.6881032544374466,0.6551985150203108,-0.03290473941713579,-4.781947942396639
Grape,Grape,track_d_cross_crop,,,,
Grape,Grape,track_d_unrelated,,,,
Chilli,Chilli,validation,0.06022952075662284,0.02790325921157311,-0.032326261545049736,-53.67178941315939
Chilli,Chilli,internal_test,0.08011924829976312,0.06758904066579095,-0.012530207633972168,-15.639447323682909
Chilli,Chilli,track_a_internal,0.1552240217311515,0.08695384590990013,-0.06827017582125136,-43.98170789537687
Chilli,Chilli,track_b_external,0.17516742795705798,0.109622884914279,-0.06554454304277897,-37.4182254128017
Chilli,Chilli,track_c_realworld,0.09228192223716028,0.09767967063127106,0.0053977483941107796,5.84919371341097
Chilli,Chilli,track_d_cross_crop,,,,
Chilli,Chilli,track_d_unrelated,,,,
Sugarcane,Sugarcane,validation,0.026415616251622854,0.022755821508823534,-0.0036597947427993195,-13.854663498810021
Sugarcane,Sugarcane,internal_test,0.017008326058067496,0.0158576652852457,-0.0011506607728217974,-6.765279363138789
Sugarcane,Sugarcane,track_a_internal,0.05794174399640825,0.06990848925378587,0.01196674525737762,20.653063632533094
Sugarcane,Sugarcane,track_b_external,0.3223583362996578,0.3310995825876792,0.008741246288021365,2.7116551066623193
Sugarcane,Sugarcane,track_c_realworld,0.43553549572825434,0.460968428850174,0.025432933121919632,5.839462769709158
Sugarcane,Sugarcane,track_d_cross_crop,,,,
Sugarcane,Sugarcane,track_d_unrelated,,,,
Chilli (Candidate D - Supplementary),Chilli,validation,0.08343533231266614,0.05645604267202575,-0.02697928964064039,-32.33556922807955
Chilli (Candidate D - Supplementary),Chilli,internal_test,0.11649063938650592,0.0391220517199615,-0.07736858766654442,-66.41614130886697
Chilli (Candidate D - Supplementary),Chilli,track_a_internal,0.2077308613806963,0.12749208344353571,-0.08023877793716058,-38.626315514145794
Chilli (Candidate D - Supplementary),Chilli,track_b_external,0.014125267167886098,0.06761440585056941,0.05348913868268331,378.67700516342285
Chilli (Candidate D - Supplementary),Chilli,track_c_realworld,0.0894841072485619,0.03854765474181814,-0.05093645250674376,-56.92234528893102
Chilli (Candidate D - Supplementary),Chilli,track_d_cross_crop,,,,
Chilli (Candidate D - Supplementary),Chilli,track_d_unrelated,,,,
