model_name,crop,target_criterion,selected_threshold,is_calibrated,test_coverage,test_rejection_rate,test_accepted_accuracy,track_b_coverage,track_b_rejection_rate,track_b_accepted_accuracy,track_c_coverage,track_c_rejection_rate,track_c_accepted_accuracy,cross_crop_rejection_rate,unrelated_non_leaf_rejection_rate
Tomato,Tomato,Target_Acc_90_Val,0.5,False,0.9610091743119266,0.03899082568807344,0.9202863961813843,0.9558823529411765,0.044117647058823484,0.1576923076923077,0.9627659574468085,0.037234042553191515,0.24861878453038674,0.013333333333333334,0.0
Tomato,Tomato,Target_Acc_90_Val,0.5,True,0.9660550458715597,0.03394495412844034,0.9183285849952516,0.9742647058823529,0.02573529411764708,0.15471698113207547,0.973404255319149,0.02659574468085102,0.2459016393442623,0.0,0.0
Tomato,Tomato,Target_Acc_95_Val,0.65,False,0.8839449541284403,0.11605504587155968,0.9486248053969901,0.8161764705882353,0.18382352941176472,0.15765765765765766,0.824468085106383,0.17553191489361697,0.25806451612903225,0.12,0.3
Tomato,Tomato,Target_Acc_95_Val,0.65,True,0.8963302752293578,0.10366972477064218,0.9437052200614124,0.8382352941176471,0.16176470588235292,0.15789473684210525,0.8404255319148937,0.15957446808510634,0.25949367088607594,0.12,0.25
Tomato,Tomato,Median_Val_Error_Conf,0.61,False,0.9064220183486239,0.0935779816513761,0.9402834008097166,0.8676470588235294,0.13235294117647056,0.16101694915254236,0.8617021276595744,0.13829787234042556,0.25308641975308643,0.10666666666666667,0.25
Tomato,Tomato,Median_Val_Error_Conf,0.61,True,0.9151376146788991,0.08486238532110091,0.9383458646616541,0.875,0.125,0.15966386554621848,0.8723404255319149,0.12765957446808507,0.25,0.10666666666666667,0.25
Tomato,Tomato,Fixed_0.60,0.6,False,0.9110091743119266,0.08899082568807337,0.9390735146022156,0.8713235294117647,0.12867647058823528,0.16033755274261605,0.8670212765957447,0.13297872340425532,0.25153374233128833,0.10666666666666667,0.25
Tomato,Tomato,Fixed_0.60,0.6,True,0.9192660550458716,0.08073394495412844,0.937125748502994,0.8786764705882353,0.12132352941176472,0.1589958158995816,0.8723404255319149,0.12765957446808507,0.25,0.10666666666666667,0.25
Tomato,Tomato,Fixed_0.80,0.8,False,0.794954128440367,0.20504587155963305,0.9717253317945759,0.6286764705882353,0.3713235294117647,0.18128654970760233,0.6542553191489362,0.3457446808510638,0.2682926829268293,0.26666666666666666,0.4
Tomato,Tomato,Fixed_0.80,0.8,True,0.8137614678899082,0.18623853211009178,0.9689966178128523,0.6507352941176471,0.3492647058823529,0.1751412429378531,0.6648936170212766,0.3351063829787234,0.264,0.25333333333333335,0.4
Grape,Grape,Target_Acc_90_Val,0.5,False,0.9860365198711063,0.013963480128893702,0.8965141612200436,0.8888888888888888,0.11111111111111116,0.13125,0.9,0.09999999999999998,0.07777777777777778,0.10666666666666667,0.0
Grape,Grape,Target_Acc_90_Val,0.5,True,0.9795918367346939,0.020408163265306145,0.9013157894736842,0.8722222222222222,0.12777777777777777,0.1337579617834395,0.84,0.16000000000000003,0.05952380952380952,0.14666666666666667,0.05
Grape,Grape,Target_Acc_95_Val,0.75,False,0.8754027926960258,0.12459720730397417,0.9460122699386503,0.6166666666666667,0.3833333333333333,0.15315315315315314,0.55,0.44999999999999996,0.03636363636363636,0.56,0.25
Grape,Grape,Target_Acc_95_Val,0.75,True,0.8485499462943072,0.15145005370569276,0.9556962025316456,0.5833333333333334,0.41666666666666663,0.1523809523809524,0.48,0.52,0.041666666666666664,0.64,0.35
Grape,Grape,Median_Val_Error_Conf,0.69,False,0.9033297529538131,0.09667024704618687,0.9310344827586207,0.6833333333333333,0.31666666666666665,0.13821138211382114,0.68,0.31999999999999995,0.04411764705882353,0.41333333333333333,0.2
Grape,Grape,Median_Val_Error_Conf,0.69,True,0.8904403866809882,0.10955961331901176,0.9396863691194209,0.6388888888888888,0.36111111111111116,0.14782608695652175,0.58,0.42000000000000004,0.034482758620689655,0.5066666666666667,0.25
Grape,Grape,Fixed_0.60,0.6,False,0.9452201933404941,0.05477980665950588,0.9125,0.7944444444444444,0.2055555555555556,0.13986013986013987,0.73,0.27,0.0547945205479452,0.30666666666666664,0.2
Grape,Grape,Fixed_0.60,0.6,True,0.9280343716433942,0.0719656283566058,0.9189814814814815,0.7388888888888889,0.26111111111111107,0.14285714285714285,0.71,0.29000000000000004,0.04225352112676056,0.3466666666666667,0.2
Grape,Grape,Fixed_0.80,0.8,False,0.8388829215896885,0.16111707841031153,0.9564660691421255,0.5722222222222222,0.4277777777777778,0.1553398058252427,0.47,0.53,0.0425531914893617,0.64,0.35
Grape,Grape,Fixed_0.80,0.8,True,0.8088077336197637,0.19119226638023634,0.9628154050464808,0.4777777777777778,0.5222222222222221,0.1511627906976744,0.42,0.5800000000000001,0.047619047619047616,0.6533333333333333,0.35
Chilli,Chilli,Target_Acc_90_Val,0.95,False,0.10689655172413794,0.8931034482758621,0.9354838709677419,0.008333333333333333,0.9916666666666667,0.0,0.030927835051546393,0.9690721649484536,1.0,0.8933333333333333,0.85
Chilli,Chilli,Target_Acc_90_Val,0.95,True,0.03793103448275862,0.9620689655172414,1.0,0.008333333333333333,0.9916666666666667,0.0,0.0,1.0,,0.9466666666666667,0.85
Chilli,Chilli,Target_Acc_95_Val,0.95,False,0.10689655172413794,0.8931034482758621,0.9354838709677419,0.008333333333333333,0.9916666666666667,0.0,0.030927835051546393,0.9690721649484536,1.0,0.8933333333333333,0.85
Chilli,Chilli,Target_Acc_95_Val,0.95,True,0.03793103448275862,0.9620689655172414,1.0,0.008333333333333333,0.9916666666666667,0.0,0.0,1.0,,0.9466666666666667,0.85
Chilli,Chilli,Median_Val_Error_Conf,0.57,False,0.6827586206896552,0.3172413793103448,0.7222222222222222,0.575,0.42500000000000004,0.5942028985507246,0.6804123711340206,0.31958762886597936,0.6666666666666666,0.32,0.1
Chilli,Chilli,Median_Val_Error_Conf,0.57,True,0.5103448275862069,0.4896551724137931,0.8175675675675675,0.4583333333333333,0.5416666666666667,0.6363636363636364,0.4845360824742268,0.5154639175257731,0.723404255319149,0.4533333333333333,0.35
Chilli,Chilli,Fixed_0.60,0.6,False,0.6068965517241379,0.3931034482758621,0.7784090909090909,0.525,0.475,0.6031746031746031,0.6082474226804123,0.3917525773195877,0.711864406779661,0.3466666666666667,0.2
Chilli,Chilli,Fixed_0.60,0.6,True,0.47586206896551725,0.5241379310344827,0.8478260869565217,0.4,0.6,0.6666666666666666,0.44329896907216493,0.5567010309278351,0.7674418604651163,0.48,0.35
Chilli,Chilli,Fixed_0.80,0.8,False,0.3310344827586207,0.6689655172413793,0.9166666666666666,0.15833333333333333,0.8416666666666667,0.8421052631578947,0.21649484536082475,0.7835051546391752,0.7142857142857143,0.6,0.55
Chilli,Chilli,Fixed_0.80,0.8,True,0.22413793103448276,0.7758620689655172,0.9230769230769231,0.058333333333333334,0.9416666666666667,0.7142857142857143,0.10309278350515463,0.8969072164948454,0.8,0.7866666666666666,0.7
Sugarcane,Sugarcane,Target_Acc_90_Val,0.65,False,0.8171641791044776,0.18283582089552242,0.9050228310502283,0.5,0.5,0.4666666666666667,0.6,0.4,0.2916666666666667,0.30666666666666664,0.4
Sugarcane,Sugarcane,Target_Acc_90_Val,0.65,True,0.8305970149253732,0.1694029850746268,0.9011680143755616,0.5166666666666667,0.4833333333333333,0.45161290322580644,0.6,0.4,0.2916666666666667,0.26666666666666666,0.35
Sugarcane,Sugarcane,Target_Acc_95_Val,0.8,False,0.676865671641791,0.323134328358209,0.9426681367144433,0.3,0.7,0.5555555555555556,0.425,0.575,0.4117647058823529,0.5466666666666666,0.65
Sugarcane,Sugarcane,Target_Acc_95_Val,0.8,True,0.6888059701492537,0.3111940298507463,0.9404117009750813,0.3,0.7,0.5555555555555556,0.425,0.575,0.4117647058823529,0.5333333333333333,0.65
Sugarcane,Sugarcane,Median_Val_Error_Conf,0.65,False,0.8171641791044776,0.18283582089552242,0.9050228310502283,0.5,0.5,0.4666666666666667,0.6,0.4,0.2916666666666667,0.30666666666666664,0.4
Sugarcane,Sugarcane,Median_Val_Error_Conf,0.65,True,0.8305970149253732,0.1694029850746268,0.9011680143755616,0.5166666666666667,0.4833333333333333,0.45161290322580644,0.6,0.4,0.2916666666666667,0.26666666666666666,0.35
Sugarcane,Sugarcane,Fixed_0.60,0.6,False,0.8522388059701492,0.14776119402985077,0.8957968476357268,0.55,0.44999999999999996,0.45454545454545453,0.675,0.32499999999999996,0.2962962962962963,0.2,0.35
Sugarcane,Sugarcane,Fixed_0.60,0.6,True,0.8619402985074627,0.13805970149253732,0.8917748917748918,0.6166666666666667,0.3833333333333333,0.40540540540540543,0.7,0.30000000000000004,0.32142857142857145,0.18666666666666668,0.3
Sugarcane,Sugarcane,Fixed_0.80,0.8,False,0.676865671641791,0.323134328358209,0.9426681367144433,0.3,0.7,0.5555555555555556,0.425,0.575,0.4117647058823529,0.5466666666666666,0.65
Sugarcane,Sugarcane,Fixed_0.80,0.8,True,0.6888059701492537,0.3111940298507463,0.9404117009750813,0.3,0.7,0.5555555555555556,0.425,0.575,0.4117647058823529,0.5333333333333333,0.65
Chilli (Candidate D - Supplementary),Chilli,Target_Acc_90_Val,0.9,False,0.4586206896551724,0.5413793103448277,0.8872180451127819,0.75,0.25,0.9888888888888889,0.7422680412371134,0.25773195876288657,0.9444444444444444,0.5866666666666667,0.75
Chilli (Candidate D - Supplementary),Chilli,Target_Acc_90_Val,0.9,True,0.2482758620689655,0.7517241379310344,0.9166666666666666,0.65,0.35,1.0,0.6082474226804123,0.3917525773195877,0.9661016949152542,0.7333333333333333,0.9
Chilli (Candidate D - Supplementary),Chilli,Target_Acc_95_Val,0.95,False,0.3793103448275862,0.6206896551724138,0.9,0.675,0.32499999999999996,0.9876543209876543,0.6907216494845361,0.30927835051546393,0.9552238805970149,0.6666666666666666,0.9
Chilli (Candidate D - Supplementary),Chilli,Target_Acc_95_Val,0.95,True,0.16551724137931034,0.8344827586206897,0.9375,0.5583333333333333,0.44166666666666665,1.0,0.4948453608247423,0.5051546391752577,0.9791666666666666,0.88,0.95
Chilli (Candidate D - Supplementary),Chilli,Median_Val_Error_Conf,0.63,False,0.7517241379310344,0.24827586206896557,0.7660550458715596,0.9083333333333333,0.09166666666666667,0.9541284403669725,0.9175257731958762,0.08247422680412375,0.8651685393258427,0.18666666666666668,0.2
Chilli (Candidate D - Supplementary),Chilli,Median_Val_Error_Conf,0.63,True,0.6310344827586207,0.36896551724137927,0.8142076502732241,0.8083333333333333,0.19166666666666665,0.9896907216494846,0.8041237113402062,0.19587628865979378,0.9230769230769231,0.38666666666666666,0.55
Chilli (Candidate D - Supplementary),Chilli,Fixed_0.60,0.6,False,0.803448275862069,0.19655172413793098,0.7510729613733905,0.9166666666666666,0.08333333333333337,0.9545454545454546,0.9278350515463918,0.07216494845360821,0.8555555555555555,0.16,0.1
Chilli (Candidate D - Supplementary),Chilli,Fixed_0.60,0.6,True,0.6586206896551724,0.3413793103448276,0.8115183246073299,0.8416666666666667,0.15833333333333333,0.9900990099009901,0.8350515463917526,0.1649484536082474,0.8888888888888888,0.30666666666666664,0.5
Chilli (Candidate D - Supplementary),Chilli,Fixed_0.80,0.8,False,0.6137931034482759,0.38620689655172413,0.8258426966292135,0.7916666666666666,0.20833333333333337,0.9894736842105263,0.7731958762886598,0.22680412371134018,0.9333333333333333,0.4533333333333333,0.55
Chilli (Candidate D - Supplementary),Chilli,Fixed_0.80,0.8,True,0.4068965517241379,0.5931034482758621,0.8898305084745762,0.7,0.30000000000000004,0.9880952380952381,0.7010309278350515,0.2989690721649485,0.9558823529411765,0.6133333333333333,0.8
