model_name,dataset_name,crop_name,prediction_outcome,count,mean_confidence,median_confidence,std_confidence,min_confidence,max_confidence,pct_conf_ge_0_90,pct_conf_ge_0_95,pct_conf_ge_0_99,pct_conf_lt_0_70
Model A (Baseline),Internal Test,ALL,All,4741,0.9994658288812869,0.9999998807907104,0.011173625215716894,0.5082961916923523,1.0,99.83125922801096,99.78907403501371,99.4937776840329,0.04218519299725796
Model A (Baseline),Internal Test,ALL,Correct,4735,0.9995278184366075,0.9999998807907104,0.010751823238069079,0.5082961916923523,1.0,99.85216473072862,99.83104540654699,99.55649419218585,0.042238648363252376
Model A (Baseline),Internal Test,ALL,Incorrect,6,0.950545738140742,0.9898266792297363,0.07090141956387688,0.8029451966285706,0.9986363053321838,83.33333333333334,66.66666666666666,50.0,0.0
Model A (Baseline),Internal Test,Tomato,All,2180,0.9998727397087517,0.9999996423721312,0.0025153905891637314,0.8890466094017029,1.0,99.95412844036697,99.95412844036697,99.77064220183486,0.0
Model A (Baseline),Internal Test,Tomato,Correct,2179,0.9998759331644101,0.9999996423721312,0.002511545647996349,0.8890466094017029,1.0,99.95410738871043,99.95410738871043,99.77053694355209,0.0
Model A (Baseline),Internal Test,Tomato,Incorrect,1,0.9929141998291016,0.9929141998291016,0.0,0.9929141998291016,0.9929141998291016,100.0,100.0,100.0,0.0
Model A (Baseline),Internal Test,Grape,All,931,0.9987611374972842,0.9999998807907104,0.018354335896654538,0.5082961916923523,1.0,99.67776584317937,99.46294307196563,98.92588614393125,0.10741138560687433
Model A (Baseline),Internal Test,Grape,Correct,928,0.9988547741467583,0.9999998807907104,0.018214977882253076,0.5082961916923523,1.0,99.67672413793103,99.56896551724138,99.13793103448276,0.10775862068965517
Model A (Baseline),Internal Test,Grape,Incorrect,3,0.9697962005933126,0.9867391586303712,0.032735833096365616,0.9240131378173828,0.9986363053321838,100.0,66.66666666666666,33.33333333333333,0.0
Model A (Baseline),Internal Test,Chilli,All,290,0.9962810378650139,0.9999987483024596,0.0299439223759484,0.6012842655181885,1.0,98.62068965517241,98.62068965517241,97.24137931034483,0.3448275862068966
Model A (Baseline),Internal Test,Chilli,Correct,288,0.9969462824778424,0.9999988079071044,0.02779612738366435,0.6012842655181885,1.0,98.95833333333334,98.95833333333334,97.56944444444444,0.3472222222222222
Model A (Baseline),Internal Test,Chilli,Incorrect,2,0.9004858136177063,0.9004858136177063,0.09754061698913574,0.8029451966285706,0.998026430606842,50.0,50.0,50.0,0.0
Model A (Baseline),Internal Test,Sugarcane,All,1340,0.9999826881867736,1.0,0.0005003259926318616,0.9817301034927368,1.0,100.0,100.0,99.92537313432835,0.0
Model A (Baseline),Internal Test,Sugarcane,Correct,1340,0.9999826881867736,1.0,0.0005003259926318616,0.9817301034927368,1.0,100.0,100.0,99.92537313432835,0.0
Model A (Baseline),Track D Cross-Crop,ALL,All,100,0.9999825382232665,0.9999998211860657,6.934138412695586e-05,0.9995461106300354,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,ALL,Correct,100,0.9999825382232665,0.9999998211860657,6.934138412695586e-05,0.9995461106300354,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Tomato,All,25,0.9999982166290283,0.9999997615814208,2.948781959679482e-06,0.9999901056289672,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Tomato,Correct,25,0.9999982166290283,0.9999997615814208,2.948781959679482e-06,0.9999901056289672,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Grape,All,25,0.9999960947036743,0.9999998807907104,1.1073267681580329e-05,0.9999502897262572,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Grape,Correct,25,0.9999960947036743,0.9999998807907104,1.1073267681580329e-05,0.9999502897262572,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Chilli,All,25,0.9999367141723633,0.9999977350234984,0.00012761440167677375,0.9995461106300354,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Chilli,Correct,25,0.9999367141723633,0.9999977350234984,0.00012761440167677375,0.9995461106300354,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Sugarcane,All,25,0.9999991273880005,1.0,3.3952212036629672e-06,0.9999825954437256,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track D Cross-Crop,Sugarcane,Correct,25,0.9999991273880005,1.0,3.3952212036629672e-06,0.9999825954437256,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track B External,ALL,All,632,0.9106987448810022,0.9842303395271301,0.1383094672668945,0.4152212142944336,1.0,73.41772151898735,64.08227848101265,44.620253164556964,11.867088607594937
Model A (Baseline),Track B External,ALL,Correct,229,0.9353058478717721,0.9984835982322692,0.12119633490860114,0.4256433546543121,1.0,79.47598253275109,72.48908296943232,60.698689956331876,7.423580786026202
Model A (Baseline),Track B External,ALL,Incorrect,403,0.8967160486405895,0.97190260887146,0.14530464839864596,0.4152212142944336,1.0,69.97518610421837,59.30521091811415,35.483870967741936,14.392059553349876
Model A (Baseline),Track B External,Tomato,All,272,0.8872246534070548,0.960794985294342,0.15084524798122736,0.4152212142944336,0.999997854232788,67.64705882352942,54.779411764705884,33.088235294117645,15.441176470588236
Model A (Baseline),Track B External,Tomato,Correct,20,0.8521170526742935,0.9385286569595336,0.18712107344920462,0.4256433546543121,0.9997218251228333,60.0,40.0,35.0,20.0
Model A (Baseline),Track B External,Tomato,Incorrect,252,0.8900109709255279,0.9646067023277283,0.14722665485109232,0.4152212142944336,0.999997854232788,68.25396825396825,55.952380952380956,32.93650793650794,15.079365079365079
Model A (Baseline),Track B External,Grape,All,180,0.9268980705075793,0.9890969395637512,0.12222670945232796,0.4719323515892029,1.0,77.22222222222223,69.44444444444444,47.77777777777778,8.88888888888889
Model A (Baseline),Track B External,Grape,Correct,69,0.9355336764584417,0.9983458518981934,0.1075632194464779,0.5907073020935059,1.0,78.26086956521739,69.56521739130434,57.971014492753625,5.797101449275362
Model A (Baseline),Track B External,Grape,Incorrect,111,0.921529991132719,0.9859609603881836,0.130225817492007,0.4719323515892029,1.0,76.57657657657657,69.36936936936937,41.44144144144144,10.81081081081081
Model A (Baseline),Track B External,Chilli,All,120,0.895164210597674,0.9733752012252808,0.14465567627226597,0.5223594307899475,0.9999922513961792,67.5,59.166666666666664,39.166666666666664,14.166666666666666
Model A (Baseline),Track B External,Chilli,Correct,80,0.9076966419816017,0.9814938604831696,0.13310381145415062,0.5223594307899475,0.9999922513961792,70.0,62.5,41.25,11.25
Model A (Baseline),Track B External,Chilli,Incorrect,40,0.8700993478298187,0.9578267335891724,0.16248130282515139,0.5246515870094299,0.9999910593032836,62.5,52.5,35.0,20.0
Model A (Baseline),Track B External,Sugarcane,All,60,0.9995857179164886,0.9999985694885254,0.002696851840158684,0.9789515137672424,1.0,100.0,100.0,98.33333333333333,0.0
Model A (Baseline),Track B External,Sugarcane,Correct,60,0.9995857179164886,0.9999985694885254,0.002696851840158684,0.9789515137672424,1.0,100.0,100.0,98.33333333333333,0.0
Model A (Baseline),Track C Real-World,ALL,All,425,0.9099047819305869,0.9876300692558287,0.14117430128529138,0.4588173925876617,1.0,72.94117647058823,65.17647058823529,46.82352941176471,12.470588235294118
Model A (Baseline),Track C Real-World,ALL,Correct,173,0.9300210756718079,0.9981070756912231,0.12873972703643338,0.4588173925876617,1.0,77.45664739884393,73.41040462427746,59.53757225433526,8.670520231213873
Model A (Baseline),Track C Real-World,ALL,Incorrect,252,0.8960947866241137,0.9797566831111908,0.1475322497447226,0.4763396084308624,0.9999998807907104,69.84126984126983,59.523809523809526,38.095238095238095,15.079365079365079
Model A (Baseline),Track C Real-World,Tomato,All,188,0.8880343451461894,0.9714657664299011,0.14815585108641383,0.4763396084308624,0.9999997615814208,64.8936170212766,55.85106382978723,36.702127659574465,14.361702127659576
Model A (Baseline),Track C Real-World,Tomato,Correct,36,0.8819270746575462,0.92994225025177,0.13042600573799418,0.5314476490020752,0.9999997615814208,52.77777777777778,47.22222222222222,33.33333333333333,8.333333333333332
Model A (Baseline),Track C Real-World,Tomato,Incorrect,152,0.8894808039461312,0.9765948057174683,0.15201659026125253,0.4763396084308624,0.9999997615814208,67.76315789473685,57.89473684210527,37.5,15.789473684210526
Model A (Baseline),Track C Real-World,Grape,All,100,0.9240179669857025,0.9914700388908386,0.12847731523321734,0.5203417539596558,1.0,76.0,69.0,52.0,10.0
Model A (Baseline),Track C Real-World,Grape,Correct,43,0.8918824999831444,0.9940431714057922,0.15674736299744169,0.5203417539596558,1.0,65.11627906976744,62.7906976744186,53.48837209302325,16.27906976744186
Model A (Baseline),Track C Real-World,Grape,Incorrect,57,0.9482605122683341,0.9900683760643004,0.09516733755889019,0.5847308039665222,0.9999998807907104,84.21052631578947,73.68421052631578,50.877192982456144,5.263157894736842
Model A (Baseline),Track C Real-World,Chilli,All,97,0.9006136486825255,0.982971727848053,0.15232080700000547,0.4588173925876617,0.9999980926513672,74.22680412371135,64.94845360824742,39.175257731958766,16.49484536082474
Model A (Baseline),Track C Real-World,Chilli,Correct,54,0.9406586868895425,0.9915310144424438,0.125528501689309,0.4588173925876617,0.9999980926513672,87.03703703703704,79.62962962962963,51.85185185185185,9.25925925925926
Model A (Baseline),Track C Real-World,Chilli,Incorrect,43,0.8503245309341786,0.9368388652801514,0.1673540050157023,0.5125843286514282,0.9999237060546876,58.139534883720934,46.51162790697674,23.25581395348837,25.581395348837212
Model A (Baseline),Track C Real-World,Sugarcane,All,40,0.9999438703060151,0.999999463558197,0.00021878399313177976,0.9987370371818542,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Track C Real-World,Sugarcane,Correct,40,0.9999438703060151,0.999999463558197,0.00021878399313177976,0.9987370371818542,1.0,100.0,100.0,100.0,0.0
Model A (Baseline),Phase 18 Benchmark,ALL,All,1172,0.9065901924674828,0.9843406975269318,0.1425635835335346,0.40585464239120483,1.0,72.01365187713311,63.39590443686007,43.9419795221843,12.8839590443686
Model A (Baseline),Phase 18 Benchmark,ALL,Correct,465,0.9276559254815502,0.995653510093689,0.12970599398513338,0.4256433546543121,1.0,76.98924731182795,71.18279569892472,56.344086021505376,8.60215053763441
Model A (Baseline),Phase 18 Benchmark,ALL,Incorrect,707,0.8927350781088671,0.9727855324745178,0.14880525411863804,0.40585464239120483,1.0,68.74115983026874,58.27439886845828,35.785007072135784,15.700141442715701
Model A (Baseline),Phase 18 Benchmark,Tomato,All,460,0.8875555709004402,0.9650304913520813,0.1497524683092421,0.4152212142944336,0.9999997615814208,66.52173913043478,55.21739130434783,34.56521739130435,15.0
Model A (Baseline),Phase 18 Benchmark,Tomato,Correct,56,0.8712806382349559,0.9385286569595336,0.1537684488195122,0.4256433546543121,0.9999997615814208,55.35714285714286,44.642857142857146,33.92857142857143,12.5
Model A (Baseline),Phase 18 Benchmark,Tomato,Incorrect,404,0.8898115021610024,0.9691420495510101,0.14904709406368993,0.4152212142944336,0.9999997615814208,68.06930693069307,56.683168316831676,34.65346534653465,15.346534653465346
Model A (Baseline),Phase 18 Benchmark,Grape,All,280,0.9258694621069091,0.9896894693374634,0.12450274858344876,0.4719323515892029,1.0,76.78571428571429,69.28571428571428,49.28571428571429,9.285714285714286
Model A (Baseline),Phase 18 Benchmark,Grape,Correct,112,0.9187747426331043,0.9964697062969208,0.1304283732423766,0.5203417539596558,1.0,73.21428571428571,66.96428571428571,56.25,9.821428571428571
Model A (Baseline),Phase 18 Benchmark,Grape,Incorrect,168,0.9305992750894456,0.9879084825515747,0.12015790645297901,0.4719323515892029,1.0,79.16666666666666,70.83333333333334,44.642857142857146,8.928571428571429
Model A (Baseline),Phase 18 Benchmark,Chilli,All,332,0.8886499869895269,0.9733752012252808,0.1544375649963545,0.40585464239120483,0.9999980926513672,67.16867469879519,58.734939759036145,35.8433734939759,16.867469879518072
Model A (Baseline),Phase 18 Benchmark,Chilli,Correct,197,0.9121452819574908,0.9860234260559082,0.13960595370664983,0.4486183226108551,0.9999980926513672,73.60406091370558,66.49746192893402,41.11675126903553,11.16751269035533
