model_name,benchmark_subset,true_crop,predicted_crop,count,total_true_crop,row_percentage
Model A (Baseline),Track B External,Tomato,Tomato,20,272,7.352941176470589
Model A (Baseline),Track B External,Tomato,Grape,97,272,35.661764705882355
Model A (Baseline),Track B External,Tomato,Chilli,146,272,53.67647058823529
Model A (Baseline),Track B External,Tomato,Sugarcane,9,272,3.308823529411765
Model A (Baseline),Track B External,Grape,Tomato,104,180,57.77777777777777
Model A (Baseline),Track B External,Grape,Grape,69,180,38.333333333333336
Model A (Baseline),Track B External,Grape,Chilli,7,180,3.888888888888889
Model A (Baseline),Track B External,Grape,Sugarcane,0,180,0.0
Model A (Baseline),Track B External,Chilli,Tomato,10,120,8.333333333333332
Model A (Baseline),Track B External,Chilli,Grape,30,120,25.0
Model A (Baseline),Track B External,Chilli,Chilli,80,120,66.66666666666666
Model A (Baseline),Track B External,Chilli,Sugarcane,0,120,0.0
Model A (Baseline),Track B External,Sugarcane,Tomato,0,60,0.0
Model A (Baseline),Track B External,Sugarcane,Grape,0,60,0.0
Model A (Baseline),Track B External,Sugarcane,Chilli,0,60,0.0
Model A (Baseline),Track B External,Sugarcane,Sugarcane,60,60,100.0
Model A (Baseline),Track C Real-World,Tomato,Tomato,36,188,19.148936170212767
Model A (Baseline),Track C Real-World,Tomato,Grape,54,188,28.723404255319153
Model A (Baseline),Track C Real-World,Tomato,Chilli,95,188,50.53191489361703
Model A (Baseline),Track C Real-World,Tomato,Sugarcane,3,188,1.5957446808510638
Model A (Baseline),Track C Real-World,Grape,Tomato,57,100,56.99999999999999
Model A (Baseline),Track C Real-World,Grape,Grape,43,100,43.0
Model A (Baseline),Track C Real-World,Grape,Chilli,0,100,0.0
Model A (Baseline),Track C Real-World,Grape,Sugarcane,0,100,0.0
Model A (Baseline),Track C Real-World,Chilli,Tomato,11,97,11.34020618556701
Model A (Baseline),Track C Real-World,Chilli,Grape,32,97,32.98969072164948
Model A (Baseline),Track C Real-World,Chilli,Chilli,54,97,55.670103092783506
Model A (Baseline),Track C Real-World,Chilli,Sugarcane,0,97,0.0
Model A (Baseline),Track C Real-World,Sugarcane,Tomato,0,40,0.0
Model A (Baseline),Track C Real-World,Sugarcane,Grape,0,40,0.0
Model A (Baseline),Track C Real-World,Sugarcane,Chilli,0,40,0.0
Model A (Baseline),Track C Real-World,Sugarcane,Sugarcane,40,40,100.0
Model A (Baseline),Phase 18 Benchmark,Tomato,Tomato,56,460,12.173913043478262
Model A (Baseline),Phase 18 Benchmark,Tomato,Grape,151,460,32.826086956521735
Model A (Baseline),Phase 18 Benchmark,Tomato,Chilli,241,460,52.391304347826086
Model A (Baseline),Phase 18 Benchmark,Tomato,Sugarcane,12,460,2.608695652173913
Model A (Baseline),Phase 18 Benchmark,Grape,Tomato,161,280,57.49999999999999
Model A (Baseline),Phase 18 Benchmark,Grape,Grape,112,280,40.0
Model A (Baseline),Phase 18 Benchmark,Grape,Chilli,7,280,2.5
Model A (Baseline),Phase 18 Benchmark,Grape,Sugarcane,0,280,0.0
Model A (Baseline),Phase 18 Benchmark,Chilli,Tomato,31,332,9.33734939759036
Model A (Baseline),Phase 18 Benchmark,Chilli,Grape,99,332,29.819277108433734
Model A (Baseline),Phase 18 Benchmark,Chilli,Chilli,197,332,59.337349397590366
Model A (Baseline),Phase 18 Benchmark,Chilli,Sugarcane,5,332,1.5060240963855422
Model A (Baseline),Phase 18 Benchmark,Sugarcane,Tomato,0,100,0.0
Model A (Baseline),Phase 18 Benchmark,Sugarcane,Grape,0,100,0.0
Model A (Baseline),Phase 18 Benchmark,Sugarcane,Chilli,0,100,0.0
Model A (Baseline),Phase 18 Benchmark,Sugarcane,Sugarcane,100,100,100.0
Model B (Augmented),Track B External,Tomato,Tomato,27,272,9.926470588235293
Model B (Augmented),Track B External,Tomato,Grape,101,272,37.13235294117647
Model B (Augmented),Track B External,Tomato,Chilli,135,272,49.63235294117647
