confusion_pattern,pattern_description,image_path,source_track,source_dataset,raw_label,canonical_class,model_a_pred,model_a_conf,model_b_pred,model_b_conf,visual_observation_notes
True Tomato -> Pred Chilli,Tomato leaf with field background misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_Yellow_Leaf_Curl_Virus\pak_field_Tomato2.jpg,Track C (Real-World),FARMER_FIELD_PHOTO,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Yellow Leaf Curl Virus,Chilli,0.9999997615814208,Chilli,0.9999990463256836,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Chilli,Tomato leaf with field background misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Leaf_Mold\pak_6032331.JPG.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Leaf_Mold,Leaf Mold,Chilli,0.9999959468841552,Chilli,0.9999998807907104,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Chilli,Tomato leaf with field background misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Tomato_mosaic_virus\pd_real_9511.img.jpg,Track C (Real-World),INTERNET_PLANTDOC_TEST,Tomato___Tomato_mosaic_virus,Mosaic Virus,Chilli,0.999995231628418,Chilli,0.9999970197677612,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Chilli,Tomato leaf with field background misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20140818-tomato-sauce-vicky-wasik-1.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___healthy,Healthy,Chilli,0.9999935626983644,Chilli,0.9999996423721312,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Chilli,Tomato leaf with field background misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\tomato\Tomato___Early_blight\pak_field_IMG_20251102_154710.jpg,Track C (Real-World),FARMER_FIELD_PHOTO,Tomato___Early_blight,Early Blight,Chilli,0.9999920129776,Chilli,0.9999788999557496,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Tomato,Grape leaf with natural vineyard background misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_5ffbc6f2-eeec-40d4-a09a-4f09bcdbed31_jpg.rf.75a48ddead7cad53be033b530b4c901e.jpg,Track B (External),GLDD-Dataset,Powdery Mildew,Powdery Mildew,Tomato,1.0,Tomato,1.0,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Tomato,Grape leaf with natural vineyard background misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_029dfa4d-a08d-4ff3-82f3-45c56330f16f_jpg.rf.8f7a59bec5f029ad68b9f050db854d3e.jpg,Track B (External),GLDD-Dataset,Powdery Mildew,Powdery Mildew,Tomato,0.9999998807907104,Tomato,0.9999996423721312,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Tomato,Grape leaf with natural vineyard background misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Esca (Black Measles)\vineyard_00000056.jpg,Track C (Real-World),VINEYARD_FIELD_PHOTO,Esca (Black Measles),Esca (Black Measles),Tomato,0.9999998807907104,Tomato,0.9999997615814208,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Tomato,Grape leaf with natural vineyard background misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_3eaab474-e2bd-4e2d-b8fa-e42c38133b32_jpg.rf.bac3588b02d2a6c96d6aa279cf097fbc.jpg,Track B (External),GLDD-Dataset,Powdery Mildew,Powdery Mildew,Tomato,0.9999998807907104,Tomato,1.0,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Tomato,Grape leaf with natural vineyard background misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Esca (Black Measles)\baliwaka_00000023.jpg,Track B (External),AI-Challenger-2018-Grape,Esca (Black Measles),Esca (Black Measles),Tomato,0.9999994039535522,Tomato,1.0,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Grape,Tomato foliage/leaf misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Spider_mites Two-spotted_spider_mite\plantdoc_comparing-diseases-4-canker-tomato-1y51ejs.jpg,Track B (External),PlantDoc-Dataset,Tomato___Spider_mites Two-spotted_spider_mite,Spider Mites,Grape,0.999997854232788,Grape,0.9999997615814208,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Grape,Tomato foliage/leaf misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Spider_mites Two-spotted_spider_mite\plantdoc_SpotSpeckBlightMite-1l4v879.jpg,Track B (External),PlantDoc-Dataset,Tomato___Spider_mites Two-spotted_spider_mite,Spider Mites,Grape,0.999996542930603,Grape,0.9999992847442628,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Grape,Tomato foliage/leaf misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Leaf_Mold\pak_IMG-20240724-WA0024.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Leaf_Mold,Leaf Mold,Grape,0.999992609024048,Grape,0.9999995231628418,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Grape,Tomato foliage/leaf misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Septoria_leaf_spot\pak_6078710516023296.jpeg.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Septoria_leaf_spot,Septoria Leaf Spot,Grape,0.9999842643737792,Grape,0.999996304512024,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Grape,Tomato foliage/leaf misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Tomato_mosaic_virus\plantdoc_4b0bfd_df5a85f728c74cecbe908a24feadab02.jpg,Track B (External),PlantDoc-Dataset,Tomato___Tomato_mosaic_virus,Mosaic Virus,Grape,0.9999796152114868,Grape,0.9999991655349731,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Grape,Chilli leaf in field misclassified as Grape,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0002.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Grape,0.9999972581863403,Grape,0.9999994039535522,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Grape,Chilli leaf in field misclassified as Grape,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0029.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Grape,0.9999938011169434,Grape,0.999998927116394,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Grape,Chilli leaf in field misclassified as Grape,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_healthy_0071.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),healthy,Healthy,Grape,0.9999680519104004,Grape,0.9999955892562866,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Grape,Chilli leaf in field misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\murda complex\ulfa_field_Leaf_Curl__1045_.jpg,Track C (Real-World),CHILI_FIELD_PHOTO,murda complex,Murda Complex (Leaf Curl),Grape,0.9999237060546876,Grape,0.9994338154792786,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Grape,Chilli leaf in field misclassified as Grape,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\nutritional deficiency\ulfa_Daun_kuning_-__118_.jpg,Track B (External),Ulfa-Chili-Dataset,nutritional deficiency,Nutritional Deficiency,Grape,0.9998781681060792,Grape,0.999998927116394,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Tomato,Chilli leaf misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\nutritional deficiency\ulfa_Daun_kuning_-__1_.jpg,Track B (External),Ulfa-Chili-Dataset,nutritional deficiency,Nutritional Deficiency,Tomato,0.9999910593032836,Tomato,0.9999470710754396,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Tomato,Chilli leaf misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\cerocospora\ulfa_Spot_Leaf_-___1_.jpeg,Track B (External),Ulfa-Chili-Dataset,cerocospora,Cercospora Leaf Spot,Tomato,0.9999886751174928,Tomato,0.9999995231628418,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Tomato,Chilli leaf misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\chilli\nutritional deficiency\ulfa_Daun_kuning_-__111_.jpg,Track B (External),Ulfa-Chili-Dataset,nutritional deficiency,Nutritional Deficiency,Tomato,0.9999792575836182,Tomato,0.983957290649414,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Tomato,Chilli leaf misclassified as Tomato,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\chilli\cerocospora\pd_real_pepper_bacterial-spot_03_zoom.jpg,Track C (Real-World),INTERNET_PLANTDOC_TEST,cerocospora,Cercospora Leaf Spot,Tomato,0.999880313873291,Tomato,0.9999310970306396,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Tomato,Chilli leaf misclassified as Tomato,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0062.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Tomato,0.9996916055679321,Tomato,0.9999966621398926,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Sugarcane,Tomato leaf/stem misclassified as Sugarcane,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___healthy\pak_20130609_151253_zpsc7d93f62.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___healthy,Healthy,Sugarcane,0.9867637753486632,Sugarcane,0.9999836683273317,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Sugarcane,Tomato leaf/stem misclassified as Sugarcane,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Bacterial_spot\plantdoc_BacterialSpot07.jpg,Track B (External),PlantDoc-Dataset,Tomato___Bacterial_spot,Bacterial Spot,Sugarcane,0.9517863392829896,Sugarcane,0.9973892569541932,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Sugarcane,Tomato leaf/stem misclassified as Sugarcane,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_100_46341.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Early_blight,Early Blight,Sugarcane,0.9303948879241944,Sugarcane,0.9827666282653807,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Sugarcane,Tomato leaf/stem misclassified as Sugarcane,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503528.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Early_blight,Early Blight,Sugarcane,0.924730658531189,Sugarcane,0.989331841468811,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Tomato -> Pred Sugarcane,Tomato leaf/stem misclassified as Sugarcane,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\tomato\Tomato___Early_blight\pak_1723454503045.jpg,Track B (External),Tomato_Leaf_Disease_Dataset_Pakistan,Tomato___Early_blight,Early Blight,Sugarcane,0.8774046897888184,Sugarcane,0.9221086502075196,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Sugarcane,Chilli leaf misclassified as Sugarcane,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0018.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Sugarcane,0.9878566265106201,Sugarcane,0.9991676807403564,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Sugarcane,Chilli leaf misclassified as Sugarcane,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0031.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Grape,0.9578002691268921,Sugarcane,0.846881091594696,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Sugarcane,Chilli leaf misclassified as Sugarcane,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0053.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Sugarcane,0.8953683972358704,Chilli,0.5142279863357544,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Sugarcane,Chilli leaf misclassified as Sugarcane,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_spot_0032.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),cerocospora,Cercospora Leaf Spot,Sugarcane,0.6903244853019714,Chilli,0.9820516705513,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Chilli -> Pred Sugarcane,Chilli leaf misclassified as Sugarcane,D:\CropDiseaseProject\experiments\chilli_independent_validation\validation_images\plantdoc_pepper_healthy_0112.jpg,Experiment 5 (PlantDoc),PlantDoc (Singh et al. 2019 / CoDS-COMAD 2020),healthy,Healthy,Sugarcane,0.6087164878845215,Sugarcane,0.8852948546409607,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Chilli,Grape leaf misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Downy Mildew\gldd_5602343-PPT_jpg.rf.35c7059b28e8745b0f0c05545ffd9ba5.jpg,Track B (External),GLDD-Dataset,Downy Mildew,Downy Mildew,Chilli,0.9915596842765808,Chilli,0.9948323965072632,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Chilli,Grape leaf misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Downy Mildew\gldd_5602755-PPT_jpg.rf.af2df93825e29216ed737ef3ed930c29.jpg,Track B (External),GLDD-Dataset,Downy Mildew,Downy Mildew,Tomato,0.9889082312583924,Chilli,0.9639880657196044,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Chilli,Grape leaf misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_c_realworld\grape\Downy Mildew\gldd_field_image52_jpeg_jpg.rf.03502a187ccd04c2cf7a9e1c394f0cbc.jpg,Track C (Real-World),VINEYARD_FIELD_PHOTO,Downy Mildew,Downy Mildew,Grape,0.949597954750061,Chilli,0.5737504363059998,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
True Grape -> Pred Chilli,Grape leaf misclassified as Chilli,D:\CropDiseaseProject\results\model_robustness_audit\audit_images\track_b_external\grape\Powdery Mildew\gldd_d536f351-5599-4c59-8f9f-73e764357145_jpg.rf.7715b2f1481246db7d1d7f37482902de.jpg,Track B (External),GLDD-Dataset,Powdery Mildew,Powdery Mildew,Chilli,0.9372894167900084,Grape,0.903873324394226,"Field background containing soil, vegetation, or complex clutter; leaf morphology exhibited features confusing feature extractor."
