image_path,binary_label,crop_source_label,negative_subcategory,source_id,source_name,sha256,original_source_url,creator_author,license,license_url,download_date,split
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_34ed5995af6c.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,34ed5995af6cb63bdedba2eeae25445064cb84631a48965caa3279f8de22745f,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Black_soil/0129227917.jpeg,Shushanth (Black Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\sugarcane_large\Healthy Leaves\image349.jpg,1,Sugarcane,leaf,SRC-IN-SUGARCANE,Internal Sugarcane In-Domain Training Split,870c3da3d4c0622cbe8a9776b10334e852fddf598bef39f5a7985d5aedf8f3dc,D:\CropDiseaseProject\sugarcane_large\Healthy Leaves\image349.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_36a56640bfa1.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,36a56640bfa16c34ff9e43db7e802ee9f9d77906296f946fb4431c8c7a90a9d5,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_36a56640bfa1.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_6e53c0428fd8.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,6e53c0428fd86704c240a76dab6c4fbeb7a4242f0043adf77f0619372f66a5e3,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_6e53c0428fd8.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_5247b3252b99.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,5247b3252b9977d8da1e2dac940a09018382838d4887a872e85aa9285977ce65,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/test/Red_soil/0743968543.jpeg,Shushanth (Red Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\grape_2024\esca\esca461.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,42f73bbe9a8cda41cdda1323fcfc5b5de4ded8a667f307a54c5df4bb835860e1,D:\CropDiseaseProject\grape_2024\esca\esca461.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,test
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight332.jpg,1,Grape,leaf,SRC-IN-GRAPE,Internal Grape In-Domain Training Split,d839e3c1a8ec297e254030cadc57245b0a126f9447bbf74887204e073f49042b,D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight332.jpg,CropDiseaseProject Corpus,Project Training Split (Internal),N/A,2026-08-21,val
D:\CropDiseaseProject\data\non_leaf_negatives\human_hands_apparel\SRC-02_human_hands_apparel_e1148e8357b3.jpg,0,non_leaf,human_hands_apparel,SRC-02,Google Open Images V7,e1148e8357b343764a5e490fdf7d965fbc33ce68c1007c0de3b6ba61a6f1b851,https://openimages.github.io/v7/validation/SRC-02_human_hands_apparel_e1148e8357b3.jpg,Google Open Images / Flickr Contributor,CC BY 2.0,https://creativecommons.org/licenses/by/2.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\soil_ground\SRC-04_soil_ground_e8ef4e4cc261.jpg,0,non_leaf,soil_ground,SRC-04,Kaggle Soil Types,e8ef4e4cc2614ac861cc3108d4b01d704d945dc1dc49b3ff65a9c2e0654b2378,https://raw.githubusercontent.com/Shushanth101/Soil-Types-Dataset/main/train/Clay_soil/0706380141.jpeg,Shushanth (Clay Soil),CC0 / Public Domain,https://creativecommons.org/publicdomain/zero/1.0/,2026-09-23,train
D:\CropDiseaseProject\data\non_leaf_negatives\plant_parts_nonleaf\SRC-05_plant_parts_nonleaf_3c9a16c58364.jpg,0,non_leaf,plant_parts_nonleaf,SRC-05,Fruits-360,3c9a16c5836490c759c244939e39210508c43cd612e79856767b8745fbd25086,https://github.com/Horea94/Fruit-Images-Dataset/tree/master/Test/Tomato Cherry Red/205_100.jpg,Horea Muresan & Mihai Oltean (2018),CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,2026-09-23,train
