threshold,test_accuracy,test_leaf_retention_recall,test_nonleaf_rejection_spec,test_f1,track_d_unrelated_rejection,track_b_leaf_retention,track_c_leaf_retention,phase18_leaf_retention,average_field_leaf_retention
0.05,98.39,100.0,96.8,98.4,95.0,97.78,99.29,98.55,98.54
0.1,98.39,100.0,96.8,98.4,95.0,97.47,99.29,98.38,98.38
0.15,98.79,100.0,97.6,98.8,95.0,96.84,99.06,97.95,97.95
0.2,98.79,100.0,97.6,98.8,95.0,96.68,98.82,97.7,97.73
0.25,98.79,100.0,97.6,98.8,95.0,96.52,98.35,97.44,97.44
0.3,99.19,100.0,98.4,99.19,95.0,96.36,98.35,97.35,97.36
0.35,99.19,100.0,98.4,99.19,95.0,96.04,98.12,97.1,97.09
0.4,99.19,100.0,98.4,99.19,95.0,95.73,98.12,96.93,96.92
0.45,99.19,100.0,98.4,99.19,95.0,95.73,97.88,96.84,96.82
0.5,99.19,100.0,98.4,99.19,95.0,95.41,97.65,96.59,96.55
0.55,99.19,100.0,98.4,99.19,95.0,95.41,97.65,96.59,96.55
0.6,99.19,100.0,98.4,99.19,95.0,95.25,97.65,96.5,96.47
0.65,99.19,100.0,98.4,99.19,95.0,94.94,97.41,96.25,96.2
0.7,99.19,100.0,98.4,99.19,95.0,94.78,97.41,96.08,96.09
0.75,99.19,100.0,98.4,99.19,95.0,94.62,97.41,95.99,96.01
0.8,99.19,100.0,98.4,99.19,95.0,94.62,97.41,95.99,96.01
0.85,99.19,100.0,98.4,99.19,95.0,94.46,97.41,95.9,95.93
0.9,99.6,100.0,99.2,99.6,95.0,93.99,97.41,95.56,95.65
0.95,99.6,100.0,99.2,99.6,95.0,93.67,97.18,95.14,95.33
