image_id,source_dataset,crop,source_class,canonical_class,relative_path,sha256,width,height,resolution_tier,original_url_or_doi,license
FP-TOM-0001,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Feuilles_Saines-1-_jpg.rf.f8ca1eb9a03f50e21c74dce9ec8224f4.jpg,7f29a14e799e2bb79964c2daf0616585aa4d3ad7a9e799fd761dea75495b1f6e,3120,3120,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0002,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_081143_496_jpg.rf.1cadbc61b47e07080346a3865c9ce047.jpg,13e0cc71779ca85030937c95a472c80b7eedbb46ce796e7dd10fd637fe15e17d,2560,1920,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0003,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_081154_051_jpg.rf.33c305b939a748314754e91fa8be48cf.jpg,e0a5cba07372c587236b21981b15676d01ebb93909fc1b1cf87bafaa3af63dc6,2560,1920,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0004,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_083019_910_jpg.rf.5018d05cbbf5f14b0831dad2c69ebbcf.jpg,7ac6bb1dc268d8aa07d1b2aa3207b46e7482074a12e573c4571ef77f3fab2a3d,2560,1920,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0005,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_083026_564_jpg.rf.f3402ef9b08d1f04e53dfa9f52f359a9.jpg,b843d41ebc16bf5de127d8b86678c7269c987bae00060ac1016e7e564b3ce713,2560,1920,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0006,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_092530_446_jpg.rf.8c830063229b45af270d0ee89b49c5b3.jpg,f2534344fa58ed583165a25657dc6ff744a968feed86e82163fc3633e5871515,1920,2560,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0007,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_161719_562_jpg.rf.7b4543ccac4846d3652a7a389e2bdc43.jpg,160984b1a79b071cc762fd0e497c8506a4bc77d2c66c1d66f84c51e297539835,1920,2560,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0008,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/IMG_20221118_162825_417_jpg.rf.356bb4bf211472138a5476fb938d1eae.jpg,c9b4c306697fd608420a4e3fe3e2a8a6266eb81e904208d7ba56cb0c037ae606,1920,2560,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0009,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Feuilles_Saines-2-_jpg.rf.c9e52c53b58e3b6cb43d8e0999ecf040.jpg,5fd90fd49646bb011f158f6d6dfbade44e2f66186604e0a6fb342fadac31982a,3120,3120,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0010,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Feuilles_Saines-3-_jpg.rf.15837883210f2e8e63457f6a34cde1f8.jpg,29d539ff6689440bb56c2ef81b83d4d3e557470cf8ba0ade81551000f6008d0b,3120,4160,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0011,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Mildiou-10-_jpg.rf.9671add0d5f9bf966bf4739cc68687e1.jpg,3c64ab2ba003a09036715642b6e6cc23830bd92eaa0e280d711a3b92fe5dedfa,3120,4160,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0012,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Feuilles_Saines-4-_jpg.rf.5df26c9cfa61c11fb3d8b7b2fc8055ae.jpg,9e462d60adca35d0f7cf8371ed093b0623a2a1e962d9f195f9e06dba49513d8d,4160,3120,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0013,"FieldPlant (Moupojou et al., 2023)",tomato,tomato healthy,tomato_healthy,experiments/field_data_19b5/tomato_fieldplant/tomato_healthy/Tomate_Mildiou-1-_jpg.rf.fda21396432b659bc50c080580b65bb1.jpg,8279b8fd6508d7e29d76532bc11d05263b56f50dff729dc496c1a13d427d2443,4160,3120,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
FP-TOM-0014,"FieldPlant (Moupojou et al., 2023)",tomato,tomato leaf mosaic virus,tomato_mosaic_virus,experiments/field_data_19b5/tomato_fieldplant/tomato_mosaic_virus/Tomate_Mosaique-15-_jpg.rf.86ec47cb4b8cd9832d9711e8ce274a7a.jpg,43ea2808a224e49063d8b5bec74e1b4cbf45eb04ff2a5257dd65254b4da2b43d,3120,3120,Ultra-High (>=2500px),https://doi.org/10.1109/ACCESS.2023.3263042,CC BY 4.0
