,Banded Chlorosis,Brown Spot,Grassy Shoot,Healthy Leaves,Mosaic / Viral Disease,Pokkah Boeng,Red Rot,Rust (Brown Rust),Sett Rot,Smut,Yellow Leaf Disease
Banded Chlorosis,48,7,0,1,4,0,0,6,0,0,4
Brown Spot,5,215,0,3,6,1,0,4,0,0,24
Grassy Shoot,0,1,50,0,0,0,0,0,1,0,0
Healthy Leaves,1,3,0,131,6,0,1,1,0,0,1
Mosaic / Viral Disease,0,6,0,11,134,0,0,4,0,3,11
Pokkah Boeng,0,1,0,0,0,38,0,0,0,6,0
Red Rot,0,10,0,2,0,0,56,8,0,0,2
Rust (Brown Rust),5,6,1,0,4,0,2,101,1,0,4
Sett Rot,0,0,0,0,0,0,0,0,98,0,0
Smut,0,1,1,0,2,14,0,0,0,27,2
Yellow Leaf Disease,0,11,0,4,10,0,4,6,0,0,220
