file_path,class_label,class_index
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_4282.JPG,murda complex,2
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5679.JPG,powdery mildew,4
D:\CropDiseaseProject\chilli_cold\healthy\IMG_4824.JPG,healthy,1
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_3922.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4605.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5113.JPG,murda complex,2
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3489.JPG,healthy,1
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4728.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5519.JPG,powdery mildew,4
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4703.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5297.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\murda complex\IMG_5636.JPG,murda complex,2
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4038.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5163.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5178.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\powdery mildew\IMG_5508.JPG,powdery mildew,4
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3304.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3468.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_4785.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_3288.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\cerocospora\IMG_5458.JPG,cerocospora,0
D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4919.JPG,nutritional deficiency,3
D:\CropDiseaseProject\chilli_cold\healthy\IMG_3951.JPG,healthy,1
