file_path,class_label,class_index
D:\CropDiseaseProject\grape_2024\esca\esca471.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy509.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight324.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca569.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot143.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca731.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy450.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight518.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight459.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\Black rot\black rot775.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy526.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy957.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight255.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight152.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca142.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy357.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca241.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca482.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca783.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca053.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca144.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight119.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca832.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy221.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot536.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy556.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot274.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy637.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy842.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy473.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy881.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight253.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\Black rot\black rot790.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight203.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy671.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca880.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca705.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy773.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca389.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight439.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\Black rot\black rot464.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca778.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca594.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight062.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight320.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy893.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot608.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca091.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy541.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot357.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca488.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot181.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\Black rot\mega dataset (31) - Copy - Copy - Copy.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy359.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca481.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca663.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight287.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy1099.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy367.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca368.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot312.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\Black rot\black rot079.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy681.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy400.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy438.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca432.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy156.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy006.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight669.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca355.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy574.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy692.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy812.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy555.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy634.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy827.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight367.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy1041.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca201.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy891.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight429.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca059.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot095.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy064.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\esca\esca360.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca038.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca589.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight330.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\Black rot\black rot313.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy288.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot077.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca314.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca795.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot806.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\esca\esca612.jpg,esca,1
D:\CropDiseaseProject\grape_2024\healthy\healthy776.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy321.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy459.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot692.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy834.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot670.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight280.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight464.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy771.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight023.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca068.jpg,esca,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight030.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\healthy\healthy305.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy073.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\healthy\healthy778.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\Black rot\black rot398.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy987.jpg,healthy,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight634.jpg,leaf blight,3
D:\CropDiseaseProject\grape_2024\esca\esca332.jpg,esca,1
D:\CropDiseaseProject\grape_2024\esca\esca878.jpg,esca,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot026.jpg,Black rot,0
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight668.jpg,leaf blight,3
