file_path,class_label,class_index
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_930.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_284.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\healthy\healthy085.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_132.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\Black rot\black rot196.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_287.JPG,Downy Mildew,2
D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_252.jpg,Powdery Mildew,6
D:\CropDiseaseProject\grape_2024\esca\esca178.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\esca\esca712.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\Black rot\black rot559.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_456.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy543.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_207.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\esca\esca694.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight310.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_niphad\Bacterial Leaf Spot\Bacterial Leaf Spot_20.jpg,Bacterial Leaf Spot,0
D:\CropDiseaseProject\grape_2024\healthy\healthy743.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_1006.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_542.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_286.jpg,Powdery Mildew,6
D:\CropDiseaseProject\grape_2024\healthy\healthy077.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\esca\esca406.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\Black rot\black rot329.jpg,Black Rot,1
D:\CropDiseaseProject\grape_2024\healthy\healthy249.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_1121.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\esca\esca408.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_81.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_616.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_139.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_263.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight375.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\Black rot\black rot458.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_67.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\esca\esca700.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_1241.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight114.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_680.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy964.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\Black rot\black rot080.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_1059.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_667.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_562.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy987.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_238.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight053.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\Black rot\black rot407.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_414.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\Black rot\black rot325.jpg,Black Rot,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot674.jpg,Black Rot,1
D:\CropDiseaseProject\grape_2024\Black rot\black rot052.jpg,Black Rot,1
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight110.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\Black rot\black rot186.jpg,Black Rot,1
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_53.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy632.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\Black rot\black rot484.jpg,Black Rot,1
D:\CropDiseaseProject\grape_2024\esca\esca019.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\healthy\healthy716.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\esca\esca781.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_1001.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy379.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\esca\esca383.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\esca\esca499.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight012.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\healthy\healthy863.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_354.jpg,Powdery Mildew,6
D:\CropDiseaseProject\grape_niphad\Powdery Mildew\Powdery Mildew_97.jpg,Powdery Mildew,6
D:\CropDiseaseProject\grape_2024\esca\esca242.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_770.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\esca\esca696.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_66.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\healthy\healthy661.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_152.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_516.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_440.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_617.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\healthy\healthy475.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_731.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight644.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_368.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_723.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight232.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\esca\esca219.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_2024\healthy\healthy327.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_105.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Downy Mildew\Downy Mildew_212.jpg,Downy Mildew,2
D:\CropDiseaseProject\grape_2024\esca\esca374.jpg,Esca (Black Measles),3
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_618.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_242.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy1029.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy290.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\healthy\healthy991.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_178.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_niphad\Healthy Leaves\Healthy Leaves_797.jpg,Healthy Leaves,4
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight330.jpg,Leaf Blight,5
D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight149.jpg,Leaf Blight,5
