file_path,class_label,class_index
D:\CropDiseaseProject\sugarcane_maharashtra\Yellow\yellow (231).jpeg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (443).jpeg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (452).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (188).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf948.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1209.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (283).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf295.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image079.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image219.jpg,Banded Chlorosis,0
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot392.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf014.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot559.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease654.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease430.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (495).jpeg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1159.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (406).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease097.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease040.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Healthy Leaves\image124.jpg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image057.jpg,Grassy Shoot,2
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf079.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf612.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_maharashtra\Yellow\yellow (242).jpeg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Healthy Leaves\image158.jpg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (401).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image812.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image215.jpg,Grassy Shoot,2
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1435.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_maharashtra\Yellow\yellow (318).jpeg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image076.jpg,Banded Chlorosis,0
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1528.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (345).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image271.jpg,Grassy Shoot,2
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot519.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\BrownRust\image178.jpg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease446.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (391).jpeg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (299).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image636.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image260.jpg,Grassy Shoot,2
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot037.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot159.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image258.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease580.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot191.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease362.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (270).jpeg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image349.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease267.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (33).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (4).jpeg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image043.jpg,Banded Chlorosis,0
D:\CropDiseaseProject\sugarcane_maharashtra\Healthy\healthy (7).jpeg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf1149.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (56).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot448.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf1060.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Yellow Leaf\Yellow Leaf426.jpg,Yellow Leaf Disease,10
D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image042.jpg,Banded Chlorosis,0
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease347.jpg,Mosaic / Viral Disease,4
D:\CropDiseaseProject\sugarcane_large\Diseases\smut\Smut308.jpg,Smut,9
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1715.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1064.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Grassy shoot\image246.jpg,Grassy Shoot,2
D:\CropDiseaseProject\sugarcane_large\Diseases\smut\Smut176.jpg,Smut,9
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (349).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng014.jpg,Pokkah Boeng,5
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (104).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image120.jpg,Banded Chlorosis,0
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (85).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1099.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image167.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot040.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Healthy Leaves\image326.jpg,Healthy Leaves,3
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot449.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (81).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Pokkah Boeng\Pokkah Boeng106.jpg,Pokkah Boeng,5
D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (115).jpeg,Red Rot,6
D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1028.jpg,Brown Spot,1
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (460).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot482.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_maharashtra\Rust\rust (225).jpeg,Rust (Brown Rust),7
D:\CropDiseaseProject\sugarcane_large\Diseases\Sett Rot\Sett Rot410.jpg,Sett Rot,8
D:\CropDiseaseProject\sugarcane_large\Diseases\Viral Disease\Viral Disease461.jpg,Mosaic / Viral Disease,4
